This	May 12, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	1	13
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	33
""			
3	THE GLASS BLOWERS, by Daphne du Maurier	3	6
""			
4	THE SAND PEBBLES, by Richard McKenna.	4	17
""			
5	GRANDMOTHER AND THE PRIESTS, by Taylor Caldwell.	5	6
""			
6	THE MOONFLOWER VINE, by Jetta Carleton	9	12
""			
7	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	7	28
""			
8	THE MOONSPINNERS, by Mary Stewart.	6	18
""			
9	THE TIN DRUM, by Gunter Grass.	8	3
""			
10	THE CENTAUR, by John Updike	10	9
