This	May 26, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE GLASS BLOWERS, by Daphne du Maurier	1	8
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	35
""			
3	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	3	15
""			
4	GRANDMOTHER AND THE PRIESTS, by Taylor Caldwell.	4	8
""			
5	THE SAND PEBBLES, by Richard McKenna.	5	19
""			
6	THE TIN DRUM, by Gunter Grass.	7	5
""			
7	THE MOONFLOWER VINE, by Jetta Carleton	6	14
""			
8	THE MOONSPINNERS, by Mary Stewart.	--	19
""			
9	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	10	30
""			
10	THE BEDFORD INCIDENT, by Mark Rascovich.	9	2
