This	November 12, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	ACROSS THE RIVER AND INTO THE TREES, by Ernest Hemingway.	1	8
""			
2	THE CARDINAL, by Henry Morton Robinson.	2	32
""			
3	THE ADVENTURER, by Mika Waltari.	3	6
""			
4	FLOODTIDE, by Frank Yerby.	4	11
""			
5	THE SPANISH GARDENER, by A.J. Cronin.	5	9
""			
6	SON OF A HUNDRED KINGS, by Thomas B. Costain.	--	1
""			
7	THE WIDOW, by Susan Yorke.	6	4
""			
8	JUBILEE TRAIL, by Gwen Bristow.	7	38
""			
9	THE LITTLE WORLD OF DON CAMILLO, by Giovanni Guareschi.	8	10
""			
10	HELENA, by Evelyn Waugh.	14	2
""			
11	THE DISENCHANTED, by Budd Schulberg.	16	2
""			
12	OWEN GLEN, by Ben Ames Williams.	9	9
""			
13	CHAMPION ROAD, by Frank Tilsley.	12	4
""			
14	BENNETT'S WELCOME, by Inglis Fletcher.	10	2
""			
15	A FEARFUL JOY, by Joyce Cary	15	3
""			
16	THE SIGN OF JONAH, by Nancy Hale.	--	1
This	November 12, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	KON-TIKI, by Thor Heyerdahl.	1	9
""			
2	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	2	31
""			
3	COURTROOM, by Quentin Reynolds.	3	22
""			
4	BELLES ON THEIR TOES, by Frank B. Gilbreth and Ernestine Gilbreth Carey.	6	4
""			
5	BEHIND THE FLYING SAUCERS, by Frank Scully.	4	7
""			
6	DIANETICS, by L. Ron Hubbard.	5	22
""			
7	NUTS IN MAY, by Cornelia Otis Skinner.	8	4
""			
8	THE MATURE MIND, by Harry Allen Overstreet.	10	64
""			
9	TRUMAN MERRY-GO-ROUND, by Robert S. Allen and William V. Shannon.	9	5
""			
10	PRESIDENTS WHO HAVE KNOWN ME, by George E. Allen.	16	2
""			
11	THE STORY OF ERNIE PYLE, by Lee G. Miller.	13	9
""			
12	THE LITTLE PRINCESSES, by Marion Crawford.	7	16
""			
13	THE MAN OF INDEPENDENCE, by Jonathan Daniels.	--	4
""			
14	WORDS IN COLLISION, by Immanuel Velikovsky.	14	31
""			
15	ANYBODY CAN DO ANYTHING, by Betty MacDonald.	12	9
""			
16	CALCULATED RISK, by Mark W. Clark.	--	1
