This	November 15, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	BEYOND THIS PLACE, by A.J. Cronin.	1	16
""			
2	TIME AND TIME AGAIN, by James Hilton.	2	11
""			
3	TOO LATE THE PHALAROPE, by Alan Paton.	3	11
""			
4	DESIREE, by Annemarie Selinko.	4	42
""			
5	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	5	28
""			
6	THE UNCONQUERED, by Ben Ames Williams.	6	10
""			
7	LORD VANITY, by Samuel Shellabarger.	12	2
""			
8	THE LADY OF ARLINGTON, by Harnett T. Kane.	13	5
""			
9	THE ADVENTURES OF AUGIE MARCH, by Saul Bellow.	8	7
""			
10	BATTLE CRY, by Leon Uris.	7	27
""			
11	THE FEMALE, by Paul Wellman.	9	5
""			
12	THE ROBE, by Lloyd C. Douglas.	11	163
""			
13	THE DEVIL'S LAUGHTER, by Frank Yerby.	10	5
""			
14	THE HEART OF THE FAMILY, by Elizabeth Goudge.	15	6
""			
15	LOVE IS A BRIDGE, by Charles Bracelen Flood.	--	3
""			
16	FROM HERE TO ETERNITY, by James Jones.	16	66
This	November 15, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	54
""			
2	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	2	7
""			
3	GONE WITH THE WINDSORS, by Iles Brody.	6	7
""			
4	A HOUSE IS NOT A HOME, by Polly Adler.	3	22
""			
5	LELIA, by Andre Maurois.	4	8
""			
6	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	5	8
""			
7	PERIOD PIECE, by Gwen Raverat.	8	11
""			
8	A MAN CALLED PETER, by Catherine Marshall.	7	108
""			
9	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	11	3
""			
10	LIFE IS WORTH LIVING, by Fulton J. Sheen.	9	2
""			
11	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	13	3
""			
12	THE LIFE AND WORK OF FREUD, Vol. 1, by Ernst Jones.	12	3
""			
13	HOLY BIBLE: REVISED STANDARD VERSION.	10	57
""			
14	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	16	39
""			
15	THE RENAISSANCE, by Will Durant.	--	3
""			
16	ANGEL UNAWARE, by Dale Evans Rogers.	15	25
