This	December 7, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	EAST OF EDEN, by John Steinbeck.	1	10
""			
2	GIANT, by Edna Ferber.	2	9
""			
3	THE SILVER CHALICE, by Thomas B. Costain.	3	19
""			
4	THE CAINE MUTINY, by Herman Wouk.	4	86
""			
5	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	5	2
""			
6	THE OLD MAN AND THE SEA, by Ernest Hemingway.	6	13
""			
7	THE WONDERFUL COUNTRY, by Tom Lea.	9	2
""			
8	THE HOUSES IN BETWEEN, by Howard Spring.	8	30
""			
9	QUEEN'S GIFT, by Inglis Clark Fletcher.	12	5
""			
10	MEN AT ARMS, by Evelyn Waugh.	16	6
""			
11	SIRONIA, TEXAS, by Madison Cooper.	7	3
""			
12	KISS ME, DEADLY, by Mickey Spillane.	13	5
""			
13	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	10	15
""			
14	MATADOR, by Barnaby Conrad.	--	21
""			
15	CONFESSORS OF THE NAME, by Gladys Schmitt.	15	4
""			
16	THE MAN ON A DONKEY, by H.F.M. Prescott.	--	5
This	December 7, 1952	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TALLULAH, by Tallulah Bankhead.	1	8
""			
2	A MAN CALLED PETER, by Catherine Marshall.	3	59
""			
3	HOLY BIBLE: REVISED STANDARD VERSION.	2	8
""			
4	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	5	5
""			
5	THE LAST RESORTS, by Cleveland Amory.	7	2
""			
6	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	4	10
""			
7	ABRAHAM LINCOLN, by Benjamin P. Thomas.	9	2
""			
8	THE SEA AROUND US, by Rachel Carson.	6	73
""			
9	THE GREAT ENTERPRISE, by H.A. Overstreet.	8	15
""			
10	BEYOND THE HIMALAYAS, by William O. Douglas.	11	7
""			
11	THE DEVILS OF LOUDUN, by Aldous Huxley.	12	7
""			
12	THE HERBLOCK BOOK, by Herbert Block.	13	6
""			
13	I GO POGO, by Walt Kelly.	15	12
""			
14	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	14	23
""			
15	THE BIG CHANGE, by Frederick Lewis Allen.	10	3
""			
16	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	--	26
