This	October 3, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	1	16
""			
2	NOT AS A STRANGER, by Morton Thompson.	2	37
""			
3	LOVE IS ETERNAL, by Irving Stone.	3	5
""			
4	SWEET THURSDAY, by John Steinbeck.	4	15
""			
5	A FABLE, by William Faulkner.	5	7
""			
6	THE ROYAL BOX, by Frances Parkinson Keyes.	6	15
""			
7	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	7	21
""			
8	THE FALL OF A TITAN, by Igor Gouzenko.	8	9
""			
9	THE DOLLMAKER, by Harriette Arnow.	9	21
""			
10	THE HEALING OATH, by Andre Soubiran.	14	7
""			
11	BLESS THIS HOUSE, by Norah Lofts.	10	25
""			
12	THE LONG SHIPS, by Frans G. Bengtsson.	--	1
""			
13	THE IRON MAIDEN, by Edwin Lanham.	16	3
""			
14	MR. HOBBS' VACATION, by Edward Streeter.	11	17
""			
15	THE JOURNAL OF EDWIN CARP, by Richard Haydn.	--	1
""			
16	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	13	17
This	October 3, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	100
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	17
""			
3	CALL TO GREATNESS, by Adlai E. Stevenson.	4	4
""			
4	A CHILD OF THE CENTURY, by Ben Hecht.	3	14
""			
5	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	6	29
""			
6	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	5	31
""			
7	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	7	12
""			
8	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	8	5
""			
9	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	9	28
""			
10	McCARTHY AND THE COMMUNISTS, by James Rorty and Moshe Decter.	10	2
""			
11	MADAME DE POMPADOUR, by Nancy Mitford.	11	15
""			
12	A PHILOSOPHY FOR OUR TIME, by Bernard M. Baruch.	12	3
""			
13	INSIDE NANTUCKET, by Frank Gilbreth Jr.	--	2
""			
14	THE REASON WHY, by Cecil Woodham-Smith.	13	20
""			
15	REACH FOR THE SKY, by Paul Brickhill.	15	6
""			
16	CELL 2455 DEATH ROW, by Caryl Chessman.	16	19
