This	February 27, 1955	Last	Weeks
Week	Fiction	Week	On List
""			
""	THE VIEW FROM POMPEY'S HEAD, by Hamilton Basso. (Doubleday and Co.,		
1		1	17
""	Inc.)		
""			
2	LOVE IS ETERNAL, by Irving Stone. (Doubleday.)	2	26
""			
3	NO TIME FOR SERGEANTS, by Mac Hyman. (Random House, Inc.)	3	19
""			
4	KATHERINE, by Anya Seton. (Houghton Mifflin.)	4	20
""			
5	TRIAL, by Don M. Mankiewicz. (Harper and Row.)	5	6
""			
6	HADRIAN'S MEMOIRS, by Marguerite Yourcenar. (Farrar, Straus and Young.)	6	12
""			
7	PRAY FOR A BRAVE HEART, by Helen MacInnes. (Houghton Mifflin Harcourt.)	9	5
""			
8	NOT AS A STRANGER, by Morton Thompson. (Charles Scribner's Sons.)	7	57
""			
9	MY BROTHER'S KEEPER, by Marcia Davenport. (Scribner.)	8	16
""			
10	A WORLD OF LOVE, by Elizabeth Bowen. (Alden Press Bound.)	13	4
""			
11	SOLDIER OF FORTUNE, by Ernest Kellogg Gann. (W. Sloane Associates.)	10	19
""			
12	THE CORNERSTONE, by Zoe Oldenbourg. (Pantheon Books.)	14	6
""			
13	THE HEALER, by Frank G. Slaughter. (Doubleday and Co. Inc.)	15	2
""			
14	BENTON'S ROW, by Frank Yerby. (Dial Press.)	11	11
""			
""	GOOD MORNING, MISS DOVE, by Frances Gray Patton. (Curtis Publishing		
15		12	14
""	Company.)		
""			
16	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	16	2
This	February 27, 1955	Last	Weeks
Week	Non-Fiction	Week	On List
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
1		1	121
""	Inc.)		
""			
""	GERTRUDE LAWRENCE AS MRS. A., by Richard Stoddard Aldrich. (Greystone		
2		2	7
""	Press.)		
""			
3	THE TUMULT AND THE SHOUTING, by Grantland Rice. (A. S. Barnes and Co.)	3	15
""			
4	MY SEVERAL WORLDS, by Pearl S. Buck. (John Day Company.)	4	14
""			
5	ABRAHAM LINCOLN, by Carl Sandburg. ( Harcourt, Brace.)	5	20
""			
6	THE DAY LINCOLN WAS SHOT, by Jim Bishop. (Harper and Brothers.)	13	2
""			
7	TREADMILL TO OBLIVION, by Fred Allen. (Little, Brown and Co.)	6	10
""			
8	I'LL CRY TOMORROW, by Lillian Roth. (Frederick Fell, Inc.)	8	38
""			
""	THE WORLD OF ALBERT SCHWEITZER, by Erica Anderson and Eugene		
9		10	4
""	Exman. (Harper and Brothers.)		
""			
10	THE PRAYERS OF PETER MARSHALL, by Catherine Marshall. (McGraw-Hill.)	9	14
""			
""	AN ENCYCLOPEDIA OF MODERN AMERICAN HUMOR, by Bennett Cerf.		
11		12	11
""	(Doubleday and Co.)		
""			
""	THE SATURDAY EVENING POST TREASURY, by Roger Butterfield. (Simon and		
12		7	15
""	Schuster.)		
""			
13	NOBLE SAVAGE, by Lawrence and Elisabeth Hanson. (Random House.)	--	1
""			
14	POLITICS IN AMERICA, by D.W. Brogan. (Harper and Brothers.)	16	3
""			
15	HAVE TUX, WILL TRAVEL, by Bob Hope. (Simon and Schuster.)	11	2
""			
""	LIFE IS WORTH LIVING: 2nd SERIES, by Fulton J. Sheen. (McGraw-Hill Book		
16		14	2
""	Company, Inc.)		
