This	July 15, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	1	19
""			
2	THE CAINE MUTINY, by Herman Wouk.	2	13
""			
3	RETURN TO PARADISE, by James A. Michener.	3	11
""			
4	PROUD NEW FLAGS, by F. Van Wyck Mason.	4	11
""			
5	A WOMAN CALLED FANCY, by Frank Yerby.	6	8
""			
6	THE FOUNDLING, by Francis Cardinal Spellman.	5	6
""			
7	THIS IS THE HOUR, by Lion Feuchtwanger.	8	6
""			
8	THE TROUBLED AIR, by Irwin Shaw.	7	4
""			
9	THE HIGH CALLING, by James Street.	15	3
""			
10	FESTIVAL, by J.B. Priestley.	9	13
""			
11	APRIL SNOW, by Lillian Budd.	11	5
""			
12	MOULIN ROUGE, by Pierre La Mure.	--	14
""			
13	GOD'S MEN, by Pearl S. Buck.	16	12
""			
14	SCANDALOUS MRS.BLACKFORD, by Harnett T. Kane and Victor Leclerc.	12	3
""			
15	JOY STREET, by Frances Parkinson Keyes.	10	32
""			
16	FIRE ON THE WIND, by David Garth.	--	2
This		July 15, 1951	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	KON-TIKI, by Thor Heyerdahl.		1	44
""				
2	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.		2	18
""				
3	A KING'S STORY, by Edward Windsor, Duke of Windsor.		3	12
""				
4	A SOLDIER'S STORY, by Omar Nelson Bradley.		4	3
""				
5	BETTER HOMES AND GARDENS GARDEN BOOK, by Fleeta Brownell		6	13
""	Woodroffe.			
""				
6	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.		5	17
""				
7	WE BARRYMORES, by Lionel Barrymore and Cameron Shipp.		11	7
""				
8	THE CHINA STORY, by Freda Utley.		7	7
""				
9	ROMMEL, THE DESERT FOX, by Desmond Young.		12	24
""				
10	COMMUNISM, DEMOCRACY, AND CATHOLIC POWER, by Paul Blanshard.		9	6
""				
11	MY SIX CONVICTS, by Donald Powell Wilson.		8	22
""				
12	OUT OF THIS WORLD, by Lowell Thomas Jr.		10	30
""				
13	CABLE CAR CARNIVAL, by Lucius Beebe and Charles Clegg.		13	3
""				
14	ARK OF EMPIRE, by Idwal Jones.		15	2
""				
15	THE GENERAL WHO MARCHED TO HELL, by Earl Schenck Miers.		--	1
""				
16	NATURE'S WAYS, by Roy Chapman Andrews.		--	1
