This	December 20, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	LORD VANITY, by Samuel Shellabarger.	1	7
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	2	21
""			
3	TIME AND TIME AGAIN, by James Hilton.	3	16
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	33
""			
5	DESIREE, by Annemarie Selinko.	5	47
""			
6	THE LADY OF ARLINGTON, by Harnett T. Kane.	6	10
""			
7	BATTLE CRY, by Leon Uris.	8	32
""			
8	THE FEMALE, by Paul Wellman.	9	10
""			
9	THE DOCTORS, by Andre Soubiran.	15	3
""			
10	THE SHADOWS OF THE IMAGES, by William E. Barrett.	11	5
""			
11	TOO LATE THE PHALAROPE, by Alan Paton.	10	16
""			
12	THE UNCONQUERED, by Ben Ames Williams.	7	15
""			
13	THE ROBE, by Lloyd C. Douglas.	13	168
""			
14	THE SILVER CHALICE, by Thomas B. Costain.	--	64
""			
15	THE DEVIL'S LAUGHTER, by Frank Yerby.	14	10
""			
16	A PASSAGE IN THE NIGHT, by Sholem Asch.	16	3
This	December 20, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	59
""			
2	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	2	12
""			
3	LIFE IS WORTH LIVING, by Fulton J. Sheen.	3	7
""			
4	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	--	1
""			
5	LELIA, by Andre Maurois.	4	13
""			
6	GONE WITH THE WINDSORS, by Iles Brody.	5	12
""			
7	A MAN CALLED PETER, by Catherine Marshall.	9	113
""			
8	FIRE IN THE ASHES, by Theodore Harold White.	10	3
""			
9	A HOUSE IS NOT A HOME, by Polly Adler.	6	27
""			
10	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	7	8
""			
11	PERIOD PIECE, by Gwen Raverat.	8	16
""			
12	THE SECRET DIARY OF HAROLD L. ICKES, by Harold L. Ickes.	--	1
""			
13	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	11	8
""			
14	FABULOUS CHICAGO, by Emmett Dedmon.	12	5
""			
15	MAN, TIME AND FOSSILS, by Ruth E. Moore.	--	3
""			
16	HOLY BIBLE: REVISED STANDARD VERSION.	13	60
