This	December 28, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	EAST OF EDEN, by John Steinbeck.	1	13
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	22
""			
3	GIANT, by Edna Ferber.	3	12
""			
4	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	4	5
""			
5	THE CAINE MUTINY, by Herman Wouk.	5	89
""			
6	THE WONDERFUL COUNTRY, by Tom Lea.	7	5
""			
7	THE OLD MAN AND THE SEA, by Ernest Hemingway.	6	16
""			
8	SIRONIA, TEXAS, by Madison Cooper.	8	6
""			
9	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	10	18
""			
10	QUEEN'S GIFT, by Inglis Clark Fletcher.	9	8
""			
11	THE HOUSES IN BETWEEN, by Howard Spring.	11	33
""			
12	MEN AT ARMS, by Evelyn Waugh.	13	9
""			
13	THE BOUNTY LANDS, by William Donohue Ellis.	--	1
""			
14	THE MAN ON A DONKEY, by H.F.M. Prescott.	12	8
""			
15	THE MAGIC LANTERN, by Robert Carson.	--	1
""			
16	CHARLOTTE'S WEB, by E.B. White.	15	3
This	December 28, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	11
""			
2	HOLY BIBLE: REVISED STANDARD VERSION.	2	11
""			
3	A MAN CALLED PETER, by Catherine Marshall.	3	62
""			
4	THE LAST RESORTS, by Cleveland Amory.	6	5
""			
5	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	4	8
""			
6	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	7	13
""			
7	ABRAHAM LINCOLN, by Benjamin P. Thomas.	5	5
""			
8	THE SEA AROUND US, by Rachel Carson.	8	76
""			
9	THE BIG CHANGE, by Frederick Lewis Allen.	9	6
""			
10	BEYOND THE HIMALAYAS, by William O. Douglas.	11	10
""			
11	THE GREAT ENTERPRISE, by H.A. Overstreet.	12	18
""			
12	THE HERBLOCK BOOK, by Herbert Block.	10	9
""			
13	THIS I BELIEVE, by Edward R. Murrow.	--	2
""			
14	SPEECHES OF ADLAI STEVENSON, by Adlai Stevenson.	--	1
""			
15	THE CROSS AND THE CROWN, by Norman Beasley.	15	3
""			
16	DENNIS THE MENACE, by Hank Ketcham.	--	1
