This		June 7, 1953	Last	Week
Week		Fiction	Week	On Li
""				
1	DESIREE, by Annemarie Selinko.		1	19
""				
2	THE SILVER CHALICE, by Thomas B. Costain.		2	45
""				
3	GOLDEN ADMIRAL, by Francis Van Wyck Mason.		3	14
""				
4	BATTLE CRY, by Leon Uris.		6	4
""				
5	KISS ME AGAIN, STRANGER, by Daphne du Maurier.		4	11
""				
6	THE ECHOING GROVE, by Rosamond Lehmann.		9	2
""				
7	THE HIGH AND THE MIGHTY, by Ernest K. Gann.		7	5
""				
8	HOTEL TALLYRAND, by Paul Hyde Bonner.		5	7
""				
9	PRINCE BART, by Jay Richard Kennedy.		8	11
""				
10	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.		10	28
""				
11	EAST OF EDEN, by John Steinbeck.		14	36
""				
12	THE CAINE MUTINY, by Herman Wouk.		11	112
""				
13	ZORBA THE GREEK, by Nikos Kazantzakis.		13	4
""				
14	NINE STORIES, by J.D. Salinger.		16	7
""				
15	IN THE WET, by Nevil Shute.		12	3
""				
16	TIS FOLLY TO BE WISE, by Lion Feuchtwanger.		--	1
This	June 7, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	31
""			
2	ANNAPURNA, by Maurice Herzog.	2	20
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	16
""			
4	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	4	7
""			
5	HOLY BIBLE: REVISED STANDARD VERSION.	5	34
""			
6	THIS I BELIEVE, by Edward R. Murrow.	6	25
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	85
""			
8	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	9	6
""			
9	THE WORLD AND THE WEST, by Arnold Toynbee.	8	9
""			
10	ANGEL UNAWARE, by Dale Evans Rogers.	11	6
""			
11	THE ROMMEL PAPERS, by B.H. Liddell Hart.	--	1
""			
12	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	13	4
""			
13	A WINDOW ON RED SQUARE, by Frank Rounds Jr.	--	1
""			
14	NO INNOCENCE ABROAD, by Michael Stern.	--	1
""			
15	UNCLE POGO SO-SO STORIES, by Walt Kelly.	--	1
""			
16	THE LATTIMORE STORY, by John T. Flynn.	--	1
