This	October 9, 1955	Last	Weeks
Week	Fiction	Week	On List
""			
1	MARJORIE MORNINGSTAR, by Herman Wouk. (Doubleday and Company, Inc.)	1	4
""			
2	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	2	30
""			
""	THE MAN IN THE GRAY FLANNEL SUIT, by Sloan Wilson. (Simon and		
3		3	11
""	Schuster.)		
""			
4	SOMETHING OF VALUE, by Robert Ruark. (Doubleday and Co.)	4	23
""			
5	BONJOUR TRISTESSE, by Francoise Sagan. (E. P. Dutton and Co., Inc.)	5	30
""			
6	BAND OF ANGELS, by Robert Penn Warren. (Random House.)	6	6
""			
7	THE SIXTH OF JUNE, by Lionel Shapiro. (Doubleday.)	8	7
""			
8	THE FLOWER GIRLS, by Clemence Dane. (W. W. Norton and Company.)	7	14
""			
9	CONFESSIONS OF FELIX KRULL, by Thomas Mann. (Alfred A. Knopf.)	--	1
""			
10	THE GREAT MAN, by Al Morgan. (E. P. Dutton and Co., Inc.)	11	3
""			
11	NOT AS A STRANGER, by Morton Thompson. (Charles Scribner's Sons.)	12	79
""			
12	GRANDFATHER STORIES, by Samuel Hopkins Adams. (Random House.)	9	9
""			
13	NO TIME FOR SERGEANTS, by Mac Hyman. (Random House, Inc.)	10	51
""			
14	THE WINE OF YOUTH, by Robert Wilder. (G. P. Putnam's Sons.)	13	15
""			
15	THE TONTINE, by Thomas B. Costain. (Doubleday.)	--	1
""			
16	THE GENIUS AND THE GODDESS, by Aldous Huxley. (Harper and Brothers.)	--	3
This	October 9, 1955	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	1	29
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
2		2	153
""	Inc.)		
""			
3	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	4	29
""			
4	THE FAMILY OF MAN, by Edward Steichen. (Museum of Modern Art.)	3	18
""			
5	A MAN CALLED PETER, by Catherine Marshall. (McGraw-Hill Book Company.)	5	157
""			
6	WHY JOHNNY CAN'T READ, by Rudolf Franz Flesch. (Harper and Brothers.)	6	27
""			
""	NEVER PLEAD GUILTY, by John Wesley Noble and Bernard Averbuch. (Farrar,		
7		9	5
""	Straus and Cudahy.)		
""			
8	ONIONS IN THE STEW, by Betty MacDonald. (J. B. Lippincott Co.)	8	19
""			
""	THE HOUSE ON NAUSET MARSH, by Wyman Richardson. (W. W. Norton and		
9		10	9
""	Company.)		
""			
10	HIROSHIMA DIARY, by Michihiko Hachiya. (University of North Carolina Press.)	7	7
""			
11	JEFFERSON DAVIS, by Hudson Strode. (Harcourt, Brace and Co.)	11	2
""			
12	THE AFRICAN GIANT, by Stuart Cloete. (Houghton Mifflin.)	14	2
""			
13	INSIDE AFRICA, by John Gunther. (Harper and Brothers.)	--	1
""			
""	THE LIFE AND WORK OF SIGMUND FREUD, Vol. II, by Ernest Jones MD.		
14		--	1
""	(Basic Books.)		
""			
15	HIGH SIERRA COUNTRY, by Oscar Lewis. (Duell, Sloan and Pearce.)	16	7
""			
""	THE NOTEBOOKS OF MAJOR THOMPSON, by Pierre Daninos. (Alfred A.		
16		--	1
""	Knopf.)		
