This	March 30, 1958	Last	Weeks
Week	Fiction	Week	On List
""			
1	ANATOMY OF A MURDER, by Robert Traver. (St. Martin's.)	1	10
""			
2	THE WINTHROP WOMAN, by Anya Seton. (Houghton Mifflin Company.)	3	4
""			
""	BY LOVE POSSESSED, by James Gould Cozzens. (Harcourt, Brace and		
3		2	30
""	Company.)		
""			
4	RALLY ROUND THE FLAG BOYS!, by Max Schulman. (Doubleday.)	5	31
""			
5	THE WHITE WITCH, by Elizabeth Goudge. (Coward-McCann, Inc.)	4	10
""			
6	NORTH FROM ROME, by Helen MacInnes. (Houghton Mifflin Harcourt.)	6	4
""			
7	MAGGIE-NOW, by Betty Smith. (Harper and Brothers.)	8	5
""			
8	SOME CAME RUNNING, by James Jones. (Charles Scribner's Sons.)	7	10
""			
9	TIME AND THE HOUR, by Howard Spring. (Harper and Brothers.)	11	3
""			
10	BELOW THE SALT, by Thomas B. Costain. (Doubleday and Company, Inc.)	10	25
""			
11	RIDE THE RED EARTH, by Paul Wellman. (Doubleday.)	13	2
""			
12	THE ROOTS OF HEAVEN, by Romain Gary. (Simon and Schuster.)	9	7
""			
13	REMEMBER ME TO GOD, by Myron S. Kaufmann. (Lippincott,)	12	27
""			
14	ICE PALACE, by Edna Ferber. (Doubleday.)	--	1
""			
15	EXILE AND THE KINGDOM, by Albert Camus. (Alfred A. Knopf.)	--	1
""			
16	HOME FROM THE HILL, by William Humphrey. (Alfred A. Knopf.)	14	5
This	March 30, 1958	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	PLEASE DON'T EAT THE DAISIES, by Jean Kerr. (Doubleday.)	1	16
""			
2	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	2	19
""			
3	BARUCH: MY OWN STORY, by Bernard M. Baruch. (Henry Holt and Company.)	3	30
""			
""	"""WHERE DID YOU GO?"" ""OUT"" ""WHAT DID YOU DO?"" ""NOTHING."", by Robert"		
4		4	33
""	Paul Smith. (W.W. Norton and Company.)		
""			
5	MASTERS OF DECEIT, by J. Edgar Hoover. (Henry Holt and Co.)	--	1
""			
""	PETER FREUCHEN'S BOOK OF THE SEVEN SEAS, by Peter Freuchen and		
6		7	15
""	David Loth. (Simon and Schuster.)		
""			
7	ATTORNEY FOR THE DAMNED, by Arthur Weinberg. (Simon and Schuster.)	6	11
""			
8	THE NEW CLASS, by Milovan Djilas. (Frederick A. Praeger.)	5	29
""			
9	LIFE PLUS 99 YEARS, by Nathan F. Leopold. (Doubleday and Company Inc.)	12	2
""			
10	MADISON AVENUE, U.S.A., by Martin Mayer. (Harper and Brothers.)	--	1
""			
11	TO LIVE AGAIN, by Catherine Marshall. (McGraw Hill.)	8	21
""			
12	VOLTAIRE IN LOVE, by Nancy Mitford. (Harper and Brothers.)	13	3
""			
13	THE HIDDEN PERSUADERS, by Vance Packard. (David McKay Company.)	9	44
""			
""	THE GREAT DEMOCRACIES, by Winston S. Churchill. (Dodd, Mead and		
14		16	2
""	Company.)		
""			
15	PARKINSON'S LAW, by C. Northcote Parkinson. (Houghton and Mifflin.)	10	19
""			
""	NAKED TO MINE ENEMIES, by Charles W. Ferguson. (Little, Brown and		
16		11	7
""	Company.)		
