This	February 8, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	2	28
""			
2	EAST OF EDEN, by John Steinbeck.	1	19
""			
3	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	3	11
""			
4	GIANT, by Edna Ferber.	4	18
""			
5	THE SOJOURNER, by Marjorie Kinnan Rawlings.	6	4
""			
6	THE CAINE MUTINY, by Herman Wouk.	5	95
""			
7	DESIREE, by Annemarie Selinko.	10	2
""			
8	THE VELVET DOUBLET, by James Street.	9	3
""			
9	THE WONDERFUL COUNTRY, by Tom Lea.	8	11
""			
10	THE OLD MAN AND THE SEA, by Ernest Hemingway.	7	22
""			
11	QUEEN'S GIFT, by Inglis Clark Fletcher.	14	14
""			
12	LOVE FOR LYDIA, by H.E. Bates.	--	1
""			
13	THE MAGIC LANTERN, by Robert Carson.	16	5
""			
14	EXECUTIVE SUITE, by Cameron Hawley.	11	6
""			
15	THE GALILEANS, by Frank G. Slaughter.	13	2
""			
16	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	12	24
This	February 8, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	17
""			
2	HOLY BIBLE: REVISED STANDARD VERSION.	2	17
""			
3	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	5	3
""			
4	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	3	14
""			
5	A MAN CALLED PETER, by Catherine Marshall.	4	68
""			
6	THIS I BELIEVE, by Edward R. Murrow.	7	8
""			
7	ANNAPURNA, by Maurice Herzog.	11	3
""			
8	THE LAST RESORTS, by Cleveland Amory.	6	11
""			
9	THE BIG CHANGE, by Frederick Lewis Allen.	9	12
""			
10	ABRAHAM LINCOLN, by Benjamin P. Thomas.	8	11
""			
11	A MANY-SPLENDORED THING, by Han Suyin.	10	6
""			
12	THE HERBLOCK BOOK, by Herbert Block.	--	14
""			
13	BEYOND THE HIMALAYAS, by William O. Douglas.	15	16
""			
14	THE SEA AROUND US, by Rachel Carson.	--	81
""			
15	HUNTER, by John A. Hunter.	13	6
""			
16	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	12	19
