This	March 11, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	ANDERSONVILLE, by MacKinlay Kantor. (Cleveland: World Publishing.)	1	19
""			
2	TEN NORTH FREDERICK, by John O'Hara. (Random House.)	2	14
""			
3	THE LAST HURRAH, by Edwin O'Connor. (Little, Brown and Co.)	4	3
""			
4	MARJORIE MORNINGSTAR, by Herman Wouk. (Doubleday and Company, Inc.)	3	26
""			
5	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	5	52
""			
6	CASH McCALL, by Cameron Hawley. (Houghton and Mifflin.)	7	16
""			
7	ISLAND IN THE SUN, by Alec Waugh. (Farrar Straus and Giroux.)	6	8
""			
8	BOON ISLAND, by Kenneth Roberts. (Doubleday and Company.)	8	8
""			
9	H.M.S. ULYSSES, by Alistair MacLean. (Collins Clear-Type Press.)	9	7
""			
10	ASPECTS OF LOVE, by David Garnett. (Harcourt Brace.)	12	4
""			
11	TENDER VICTORY, by Taylor Caldwell. (McGraw-Hill.)	11	7
""			
""	THE MAN IN THE GRAY FLANNEL SUIT, by Sloan Wilson. (Simon and		
12		14	33
""	Schuster.)		
""			
13	THE TONTINE, by Thomas B. Costain. (Doubleday.)	13	23
""			
14	THE CAPRI LETTERS, by Mario Soldati. (Alfred A. Knopf.)	15	2
""			
15	NATIVE STONE, by Edwin Gilbert. (Doubleday and Company, Inc.)	--	2
""			
16	AN EPISODE OF SPARROWS, by Rumer Godden. (Viking Press.)	10	13
This	March 11, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
""	THE SEARCH FOR BRIDEY MURPHY, by Morey Bernstein. (Doubleday and		
1		1	8
""	Company.)		
""			
2	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	2	51
""			
3	A NIGHT TO REMEMBER, by Walter Lord. (Henry Holt and Company.)	3	14
""			
4	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	5	8
""			
""	THE SCROLLS FROM THE DEAD SEA, by Edmund Wilson. (Oxford University		
5		6	18
""	Press.)		
""			
6	INSIDE AFRICA, by John Gunther. (Harper and Brothers.)	4	23
""			
7	THE SECRET OF THE HITTITES, by C.W. Ceram. (Alfred A Knopf.)	7	7
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
8		8	175
""	Inc.)		
""			
9	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	11	51
""			
10	LOVE OR PERISH, by Smiley Blanton. (Simon and Schuster.)	10	4
""			
11	THE EDGE OF THE SEA, by Rachel Carson. (Houghton Mifflin.)	9	17
""			
12	ELOISE, by Kay Thompson and Hilary Knight. (Simon and Schuster.)	12	4
""			
13	MACARTHUR, by Courtney Whitney. (Alfred A. Knopf.)	13	4
""			
14	HERBLOCK'S HERE AND NOW, by Herbert Block. (Simon and Schuster.)	15	11
""			
15	THE COLUMBIA, by Stewart Hall Holbrook. (Rinehart and Co., Inc.)	16	2
""			
16	SURPRISED BY JOY, by C.S. Lewis. (Harcourt, Brace and Co.)	14	2
