This	March 8, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	2	6
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	1	32
""			
3	EAST OF EDEN, by John Steinbeck.	3	23
""			
4	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	4	15
""			
5	THE SECOND HAPPIEST DAY, by John Phillips.	7	4
""			
6	GIANT, by Edna Ferber.	6	22
""			
7	THE CAINE MUTINY, by Herman Wouk.	5	99
""			
8	THE SOJOURNER, by Marjorie Kinnan Rawlings.	8	8
""			
9	THE VELVET DOUBLET, by James Street.	9	7
""			
10	TO THE MOMENT OF TRIUMPH, by Pamela Frankau.	11	4
""			
11	THE GALILEANS, by Frank G. Slaughter.	10	6
""			
12	I AND MY TRUE LOVE, by Helen MacInnes.	--	1
""			
13	THE OLD MAN AND THE SEA, by Ernest Hemingway.	14	26
""			
14	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	--	1
""			
15	EXECUTIVE SUITE, by Cameron Hawley.	12	10
""			
16	THE WONDERFUL COUNTRY, by Tom Lea.	13	15
This	March 8, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	1	7
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	18
""			
3	HOLY BIBLE: REVISED STANDARD VERSION.	4	21
""			
4	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	3	7
""			
5	THIS I BELIEVE, by Edward R. Murrow.	5	12
""			
6	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	6	3
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	72
""			
8	TALLULAH, by Tallulah Bankhead.	8	21
""			
9	THE LAST RESORTS, by Cleveland Amory.	10	15
""			
10	ABRAHAM LINCOLN, by Benjamin P. Thomas.	9	15
""			
11	THE SIGN OF JONAS, by Thomas Merton.	11	2
""			
12	THE BIG CHANGE, by Frederick Lewis Allen.	12	16
""			
13	A MANY-SPLENDORED THING, by Han Suyin.	13	10
""			
14	MARY LINCOLN, by Ruth Randall.	16	2
""			
15	REMEMBER THESE THINGS, by Paul Harvey.	--	2
""			
16	THE HERBLOCK BOOK, by Herbert Block.	14	17
