This	July 25, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	27
""			
2	MARY ANNE, by Daphne du Maurier.	2	6
""			
3	SWEET THURSDAY, by John Steinbeck.	4	5
""			
4	THE ROYAL BOX, by Frances Parkinson Keyes.	3	5
""			
5	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	5	11
""			
6	THE DOLLMAKER, by Harriette Arnow.	7	11
""			
7	BLESS THIS HOUSE, by Norah Lofts.	6	16
""			
8	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	8	7
""			
9	AWAY ALL BOATS, by Kenneth Dodson.	9	19
""			
10	A WREATH FOR THE ENEMY, by Pamela Frankau.	12	2
""			
11	MR. HOBBS' VACATION, by Edward Streeter.	11	7
""			
12	DON CAMILLO'S DILEMMA, by Giovanni Guareschi.	--	1
""			
13	THE SONG OF RUTH, by Frank G. Slaughter.	10	12
""			
14	PICTURES FROM AN INSTITUTION, by Randall Jarrell.	13	7
""			
15	THE TUNNEL OF LOVE, by Peter De Vries.	--	4
""			
16	THE GIPSY IN THE PARLOUR, by Margery Sharp.	--	10
This	July 25, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	90
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	21
""			
3	I'LL CRY TOMORROW, by Lillian Roth.	4	7
""			
4	MINUTES OF THE LAST MEETING, by Gene Fowler.	5	14
""			
5	A CHILD OF THE CENTURY, by Ben Hecht.	7	4
""			
6	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	3	19
""			
7	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	6	18
""			
8	THE REASON WHY, by Cecil Woodham-Smith.	8	10
""			
9	MADAME DE POMPADOUR, by Nancy Mitford.	10	5
""			
10	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	13	2
""			
11	CELL 2455 DEATH ROW, by Caryl Chessman.	9	9
""			
12	SECOND TREE FROM THE CORNER, by E.B. White.	11	25
""			
13	JOURNEY TO THE FAR AMAZON, by Alain Gheerbrant.	12	3
""			
14	SEVEN YEARS IN TIBET, by Heinrich Harrer.	--	17
""			
15	OF WHALES AND MEN, by R.B. Robertson.	14	3
""			
16	THE TAFT STORY, by William S. White.	16	12
