This	March 29, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	9
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	35
""			
3	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	3	18
""			
4	EAST OF EDEN, by John Steinbeck.	4	26
""			
5	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	6	4
""			
6	THE SECOND HAPPIEST DAY, by John Phillips.	5	7
""			
7	THE CAINE MUTINY, by Herman Wouk.	7	102
""			
8	PRINCE BART, by Jay Richard Kennedy.	--	1
""			
9	THE SOJOURNER, by Marjorie Kinnan Rawlings.	8	11
""			
10	THE GALILEANS, by Frank G. Slaughter.	14	9
""			
11	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	--	1
""			
12	THE STONES OF THE HOUSE, by Theodore Morrison.	15	2
""			
13	THE VELVET DOUBLET, by James Street.	11	10
""			
14	GIANT, by Edna Ferber.	10	25
""			
15	EXECUTIVE SUITE, by Cameron Hawley.	12	13
""			
16	I AND MY TRUE LOVE, by Helen MacInnes.	9	4
This	March 29, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	1	10
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	21
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	4	6
""			
4	THIS I BELIEVE, by Edward R. Murrow.	3	15
""			
5	HOLY BIBLE: REVISED STANDARD VERSION.	5	24
""			
6	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	6	10
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	75
""			
8	THE SIGN OF JONAS, by Thomas Merton.	10	5
""			
9	PRINCE OF PLAYERS, by Eleanor Ruggles.	14	2
""			
10	TALLULAH, by Tallulah Bankhead.	8	24
""			
11	THE SECOND SEX, by Simone de Beauvoir.	9	3
""			
12	THE LAST RESORTS, by Cleveland Amory.	11	18
""			
13	THE WHITE RABBIT, by Bruce Marshall.	13	3
""			
14	THE FABULOUS FANNY, by Norman Katkov.	12	3
""			
15	BIG BUSINESS, by David Lilienthal.	--	1
""			
16	ABRAHAM LINCOLN, by Benjamin P. Thomas.	15	18
