This	August 26, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	19
""			
2	FROM HERE TO ETERNITY, by James Jones.	2	25
""			
3	RETURN TO PARADISE, by James A. Michener.	3	17
""			
4	THE CATCHER IN THE RYE, by J.D. Salinger.	4	5
""			
5	THE CRUEL SEA, by Nicholas Monsarrat.	14	2
""			
6	THE IRON MISTRESS, by Paul I. Wellman.	7	3
""			
7	THE TROUBLED AIR, by Irwin Shaw.	6	10
""			
8	A WOMAN CALLED FANCY, by Frank Yerby.	5	14
""			
9	THE FOUNDLING, by Francis Cardinal Spellman.	9	12
""			
10	PROUD NEW FLAGS, by F. Van Wyck Mason.	8	17
""			
11	LUCY CARMICHAEL, by Margaret Kennedy.	--	1
""			
12	THE HIGH CALLING, by James Street.	11	9
""			
13	APRIL SNOW, by Lillian Budd.	13	11
""			
14	THIS IS THE HOUR, by Lion Feuchtwanger.	10	12
""			
15	SCANDALOUS MRS.BLACKFORD, by Harnett T. Kane and Victor Leclerc.	12	9
""			
16	THE GOLDEN ROAD, by Peter Bourne.	--	1
This		August 26, 1951	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	KON-TIKI, by Thor Heyerdahl.		1	50
""				
2	THE SEA AROUND US, by Rachel Carson.		2	6
""				
3	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.		3	24
""				
4	A KING'S STORY, by Edward Windsor, Duke of Windsor.		5	18
""				
5	A SOLDIER'S STORY, by Omar Nelson Bradley.		4	9
""				
6	CRIME IN AMERICA, by Estes Kefauver.		6	5
""				
7	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.		7	23
""				
8	FIGHT AGAINST FEARS, by Lucy Freeman.		9	5
""				
9	COMMUNISM, DEMOCRACY, AND CATHOLIC POWER, by Paul Blanshard.		12	12
""				
10	WHITE MAN RETURNS, by Agnes Newton Keith.		--	1
""				
11	BETTER HOMES AND GARDENS GARDEN BOOK, by Fleeta Brownell		10	19
""	Woodroffe.			
""				
12	THE NEW JOY OF COOKING, by Irma S. Rombauer and Marion Rombauer		11	4
""	Becker.			
""				
13	MY SIX CONVICTS, by Donald Powell Wilson.		--	27
""				
14	NATURE'S WAYS, by Roy Chapman Andrews.		15	6
""				
15	THE BETTY CROCKER PICTURE COOK BOOK, by General Mills.		--	1
""				
16	THE CHINA STORY, by Freda Utley.		8	13
