This	August 27, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CARDINAL, by Henry Morton Robinson.	1	21
""			
2	WORLD AND ENOUGH TIME, by Robert Penn Warren.	2	8
""			
3	JUBILEE TRAIL, by Gwen Bristow.	3	27
""			
4	THE LEGACY, by Nevil Shute.	5	9
""			
5	THE WALL, by John Hersey.	4	25
""			
6	WHITE WITCH DOCTOR, by Louise A. Stinetorf.	9	3
""			
7	HOMEWARD BORNE, by Ruth Chatterton.	7	14
""			
8	TWO ADOLESCENTS, by Alberto Moravia.	11	3
""			
9	STAR MONEY, by Kathleen Winsor.	6	18
""			
10	TOO LITTLE LOVE, by Robert Henriques.	8	9
""			
11	THE EGYPTIAN, by Mika Waltari.	10	51
""			
12	SLEEP TILL NOON, by Max Shulman.	13	18
""			
13	WAIT FOR TOMORROW, by Robert Wilder.	--	18
""			
14	THE BIZARRE SISTERS, by Jay Walz.	16	13
""			
15	THE STUBBORN HEART, by Frank G. Slaughter.	15	10
""			
16	THE CIRCLE OF THE DAY, by Helen Huntington Howe.	12	11
This	August 27, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	COURTROOM, by Quentin Reynolds.	3	11
""			
2	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	4	20
""			
3	ROOSEVELT IN RETROSPECT, by John Gunther.	2	11
""			
4	WORDS IN COLLISION, by Immanuel Velikovsky.	1	20
""			
5	THE LITTLE PRINCESSES, by Marion Crawford.	6	5
""			
6	DIANETICS, by L. Ron Hubbard.	5	11
""			
7	THE MATURE MIND, by Harry Allen Overstreet.	8	53
""			
8	JOHN ADAMS AND THE AMERICAN REVOLUTION, by Catherine Drinker	7	8
""	Bowen.		
""			
9	BEHIND CLOSED DOORS, by Ellis M. Zacharias.	12	3
""			
10	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	9	24
""			
11	ORDEAL BY SLANDER, by Owen Lattimore.	11	2
""			
12	ELEANOR OF AQUITIANE AND THE FOUR KINGS, by Amy Kelly.	10	9
""			
13	THE MARX BROTHERS, by Kyle Samuel Crichton.	--	3
""			
14	MR. JONES, MEET THE MASTER, by Peter Marshall.	15	33
""			
15	THE COCKTAIL PARTY, by T.S. Eliot.	14	23
""			
16	SEEDS OF TREASON, by Ralph de Toledano and Victor Lasky.	13	19
