This	April 15, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	1	6
""			
2	JOY STREET, by Frances Parkinson Keyes.	2	19
""			
3	THE DISENCHANTED, by Budd Schulberg.	3	24
""			
4	MORNING JOURNEY, by James Hilton.	4	6
""			
5	THE AGE OF LONGING, by Arthur Koestler.	5	5
""			
6	RIVER OF THE SUN, by James Ramsey Ullman.	10	13
""			
7	THE DISAPPEARANCE, by Philip Wylie.	7	13
""			
8	THE LEFT HAND OF GOD, by William E. Barrett.	12	9
""			
9	NEW YORK 22, by Ilka Chase.	8	3
""			
10	THE BALANCE WHEEL, by Taylor Caldwell.	6	13
""			
11	ROUND THE BEND, by Nevil Shute.	9	4
""			
12	THE CARDINAL, by Henry Morton Robinson.	13	54
""			
13	FORT EVERGLADES, by Frank G. Slaughter.	--	1
""			
14	OLD HERBACEOUS, by Reginald Arkell.	14	6
""			
15	FOXFIRE, by Anya Seton.	11	13
""			
16	WORLD SO WIDE, by Sinclair Lewis.	--	1
This	April 15, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	1	5
""			
2	KON-TIKI, by Thor Heyerdahl.	2	31
""			
3	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.	5	4
""			
4	ROMMEL, THE DESERT FOX, by Desmond Young.	4	11
""			
5	THE FAR SIDE OF PARADISE, by Arthur Mizener.	3	10
""			
6	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	6	53
""			
7	OUT OF THIS WORLD, by Lowell Thomas Jr.	7	18
""			
8	MY SIX CONVICTS, by Donald Powell Wilson.	9	9
""			
9	BOSWELL'S LONDON JOURNAL, by Frederick A. Pottle.	8	21
""			
10	FLORENCE NIGHTINGALE, by Cecil Woodham-Smith.	10	5
""			
11	UNPOPULAR ESSAYS, by Bertrand Russell.	12	6
""			
12	THE VICIOUS CIRCLE, by Margaret Case Harriman.	11	4
""			
13	SULEIMAN THE MAGNIFICENT, by Harold Lamb.	--	1
""			
14	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	--	40
""			
15	THE RIDDLE OF MACARTHUR, by John Gunther.	13	8
""			
16	DECLINE AND FALL OF PRACTICALLY EVERYBODY, by Will Cuppy.	--	18
