This	October 5, 1958	Last	Weeks
Week	Fiction	Week	On List
""			
1	LOLITA, by Vladimir Nabokov. (G.P. Putnam's Sons.)	1	6
""			
""	AROUND THE WORLD WITH AUNTIE MAME, by Patrick Dennis. (Harcourt,		
2		3	6
""	Brace and Company.)		
""			
3	ANATOMY OF A MURDER, by Robert Traver. (St. Martin's.)	2	37
""			
4	THE ENEMY CAMP, by Jerome Weidman. (Random House.)	4	14
""			
5	DOCTOR ZHIVAGO, by Boris Pasternak. (Random House Inc.)	6	2
""			
6	THE KING MUST DIE, by Mary Renault. (Pantheon.)	5	11
""			
7	THE BEST OF EVERYTHING, by Rona Jaffe. (Simon and Schuster.)	8	3
""			
8	THE IMAGE MAKERS, by Bernard Dryer. (Harper and Brothers.)	7	14
""			
""	THE ONCE AND FUTURE KING, by Terence Hanbury White. (G.P. Putnam's		
9		11	4
""	Sons.)		
""			
10	THE TIME OF THE DRAGONS, by Alice Ekert-Rotholz. (Viking.)	10	13
""			
11	ICE PALACE, by Edna Ferber. (Doubleday.)	9	28
""			
""	ADMIRAL HORNBLOWER IN THE WEST INDIES, by C.S. Forester. (Little,		
12		--	1
""	Brown and Company.)		
""			
13	THE WINTHROP WOMAN, by Anya Seton. (Houghton Mifflin Company.)	15	31
""			
14	THE BRAMBLE BUSH, by Charles Mergendahl. (Putnam.)	16	3
""			
15	CHEZ PAVAN, by Richard Llewellyn. (Doubleday.)	13	7
""			
16	WARLOCK, by Oakley Hall. (Viking Press.)	--	1
This	October 5, 1958	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ONLY IN AMERICA, by Harry Lewis Golden. (World Publishing Co.)	1	10
""			
2	AKU-AKU, by Thor Heyerdahl. (Rand McNally and Company.)	3	3
""			
3	INSIDE RUSSIA TODAY, by John Gunther. (Harper and Brothers.)	2	24
""			
4	"BAA BAA BLACK SHEEP, by Gregory ""Pappy"" Boyington. (Wilson Press.)"	4	8
""			
""	THE AFFLUENT SOCIETY, by John Kenneth Galbraith. (Houghton Mifflin		
5		5	16
""	Company.)		
""			
6	PLEASE DON'T EAT THE DAISIES, by Jean Kerr. (Doubleday.)	7	43
""			
7	MASTERS OF DECEIT, by J. Edgar Hoover. (Henry Holt and Co.)	6	28
""			
""	WAR AND PEACE IN THE SPACE AGE, by James M. Gavin. (Harper and		
8		8	6
""	Brothers.)		
""			
9	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	10	46
""			
""	EISENHOWER: CAPTIVE HERO, by Marquis William Childs. (Harcourt, Brace		
10		9	5
""	and Company.)		
""			
11	THE RUSSIAN REVOLUTION, by Alan Moorehead. (Harper and Brothers.)	12	4
""			
12	DEAR ABBY, by Abigail Van Buren. (Prentice-Hall, Inc.)	11	21
""			
13	ON MY OWN, by Eleanor Roosevelt. (Harper and Brothers.)	--	1
""			
14	ALL ABOUT MEN, by Joseph H. Peck. (Elliot Right Way Books.)	13	14
""			
15	SNOOPY, by Charles M. Schulz. (Holt, Rinehart and Winston.)	14	2
""			
16	ABANDON SHIP!, by Richard F. Newcomb. (Henry Holt and Company.)	--	1
