This	September 19, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	1	14
""			
2	NOT AS A STRANGER, by Morton Thompson.	2	35
""			
3	SWEET THURSDAY, by John Steinbeck.	3	13
""			
4	LOVE IS ETERNAL, by Irving Stone.	6	3
""			
5	A FABLE, by William Faulkner.	4	5
""			
6	THE ROYAL BOX, by Frances Parkinson Keyes.	5	13
""			
7	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	7	19
""			
8	THE DOLLMAKER, by Harriette Arnow.	9	19
""			
9	THE FALL OF A TITAN, by Igor Gouzenko.	8	7
""			
10	THE HEALING OATH, by Andre Soubiran.	12	5
""			
11	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	10	15
""			
12	MR. HOBBS' VACATION, by Edward Streeter.	11	15
""			
13	AWAY ALL BOATS, by Kenneth Dodson.	15	26
""			
14	THE SONG OF RUTH, by Frank G. Slaughter.	13	20
""			
15	THE IRON MAIDEN, by Edwin Lanham.	--	1
""			
16	DON CAMILLO'S DILEMMA, by Giovanni Guareschi.	--	8
This	September 19, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	98
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	15
""			
3	A CHILD OF THE CENTURY, by Ben Hecht.	3	12
""			
4	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	4	29
""			
5	CALL TO GREATNESS, by Adlai E. Stevenson.	7	2
""			
6	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	5	27
""			
7	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	6	10
""			
8	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	11	26
""			
9	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	10	3
""			
10	MINUTES OF THE LAST MEETING, by Gene Fowler.	9	22
""			
11	MADAME DE POMPADOUR, by Nancy Mitford.	8	13
""			
12	THE REASON WHY, by Cecil Woodham-Smith.	12	18
""			
13	CELL 2455 DEATH ROW, by Caryl Chessman.	13	17
""			
14	A PHILOSOPHY FOR OUR TIME, by Bernard M. Baruch.	--	1
""			
15	REACH FOR THE SKY, by Paul Brickhill.	15	4
""			
16	OF WHALES AND MEN, by R.B. Robertson.	16	10
