This	March 31, 1957	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SCAPEGOAT, by Daphne du Maurier. (Doubleday and Co.)	1	5
""			
2	PEYTON PLACE, by Grace Metalious. (Simon and Schuster, Inc.)	2	27
""			
3	COMPULSION, by Meyer Levin. (Simon and Schuster.)	3	20
""			
4	BLUE CAMELLIA, by Frances Parkinson Keyes. (Julian Messner Inc.)	4	9
""			
5	THE PHILADELPHIAN, by Richard Powell. (Charles Scribner's Sons.)	5	11
""			
6	THE LAST ANGRY MAN, by Gerald Green. (Charles Scribner's Sons.)	6	6
""			
7	THE FOUNTAIN OVERFLOWS, by Rebecca West. (Viking Press.)	7	15
""			
8	THE FALL, by Albert Camus. (Alfred A. Knopf.)	8	4
""			
9	STOPOVER: TOKYO, by John P. Marquand. (Little, Brown and Co.)	9	8
""			
10	DON'T GO NEAR THE WATER, by William Brinkley. (Random House Inc.)	12	37
""			
11	A LEGACY, by Sybille Bedford. (Simon and Schuster.)	16	5
""			
12	THE GUNS OF NAVARONE, by Alistair MacLean. (Doubleday.)	13	2
""			
13	THE EYE OF LOVE, by Margery Sharp. (Little, Brown and Company.)	15	2
""			
14	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	11	107
""			
15	THE ETRUSCAN, by Mika Waltari. ( G. P. Putnam's Sons.)	--	10
""			
16	ONIONHEAD, by Weldon Hill. (David McKay.)	--	1
This	March 31, 1957	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE FBI STORY, by Don Whitehead. (Random House.)	1	16
""			
2	THE NUN'S STORY, by Kathryn Hulme. (Little, Brown and Company.)	2	27
""			
3	THE ORGANIZATION MAN, by William H. Whyte Jr. (Simon and Schuster.)	5	8
""			
4	THIS HALLOWED GROUND, by Bruce Catton. (Doubleday and Company.)	3	20
""			
5	THE ROAD TO MILTOWN, by S.J. Perelman. (Simon and Schuster.)	4	8
""			
6	THE BRIDGE AT ANDAU, by James A. Michener. (Random House.)	10	2
""			
7	MEN TO MATCH MY MOUNTAINS, by Irving Stone. (Doubleday.)	9	24
""			
8	THE CRISIS OF THE OLD ORDER, by Arthur Schlesinger. (Houghton, Mifflin Co.)	11	2
""			
9	MUCH ADO ABOUT ME, by Fred Allen. (Little, Brown and Co.)	6	17
""			
10	CITADEL, by William Smith White. (Harper and Brothers.)	8	9
""			
11	INVESTORS' ROAD MAP, by Alice B. Morgan. (Simon and Schuster.)	7	8
""			
12	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	13	63
""			
13	A STUDY OF HISTORY, by Arnold J. Toynbee. (Oxford University Press.)	--	2
""			
""	HERB CAEN'S GUIDE TO SAN FRANCISCO, by Herb Caen. (Doubleday and		
14		15	4
""	Company, Inc.)		
""			
15	THE BIBLE AS HISTORY, by Werner Keller. (William Morrow and Company.)	14	17
""			
""	THE MEN WHO MADE THE NATION, by John Dos Passos. (Doubleday and		
16		--	3
""	Company.)		
