This	August 1, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	2	7
""			
2	NOT AS A STRANGER, by Morton Thompson.	1	28
""			
3	SWEET THURSDAY, by John Steinbeck.	3	6
""			
4	THE ROYAL BOX, by Frances Parkinson Keyes.	4	6
""			
5	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	5	12
""			
6	THE DOLLMAKER, by Harriette Arnow.	6	12
""			
7	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	8	8
""			
8	A WREATH FOR THE ENEMY, by Pamela Frankau.	10	3
""			
9	BLESS THIS HOUSE, by Norah Lofts.	7	17
""			
10	AWAY ALL BOATS, by Kenneth Dodson.	9	20
""			
11	THE SONG OF RUTH, by Frank G. Slaughter.	13	13
""			
12	MR. HOBBS' VACATION, by Edward Streeter.	11	8
""			
13	DON CAMILLO'S DILEMMA, by Giovanni Guareschi.	12	2
""			
14	THE TUNNEL OF LOVE, by Peter De Vries.	15	5
""			
15	PICTURES FROM AN INSTITUTION, by Randall Jarrell.	14	8
""			
16	THE BAD SEED, by William March.	--	7
This	August 1, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	91
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	22
""			
3	I'LL CRY TOMORROW, by Lillian Roth.	3	8
""			
4	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	6	20
""			
5	A CHILD OF THE CENTURY, by Ben Hecht.	5	5
""			
6	MINUTES OF THE LAST MEETING, by Gene Fowler.	4	15
""			
7	THE REASON WHY, by Cecil Woodham-Smith.	8	11
""			
8	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	7	19
""			
9	CELL 2455 DEATH ROW, by Caryl Chessman.	11	10
""			
10	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	10	3
""			
11	MADAME DE POMPADOUR, by Nancy Mitford.	9	6
""			
12	SECOND TREE FROM THE CORNER, by E.B. White.	12	26
""			
13	ANIMALS, MEN AND MYTHS, by Richard Lewinsohn.	--	2
""			
14	OF WHALES AND MEN, by R.B. Robertson.	15	4
""			
15	A STILLNESS AT APPOMATTOX, by Bruce Catton.	--	9
""			
16	JOURNEY TO THE FAR AMAZON, by Alain Gheerbrant.	13	4
