This	May 31, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	18
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	44
""			
3	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	3	13
""			
4	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	4	10
""			
5	HOTEL TALLYRAND, by Paul Hyde Bonner.	7	6
""			
6	BATTLE CRY, by Leon Uris.	6	3
""			
7	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	12	4
""			
8	PRINCE BART, by Jay Richard Kennedy.	9	10
""			
9	THE ECHOING GROVE, by Rosamond Lehmann.	--	1
""			
10	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	5	27
""			
11	THE CAINE MUTINY, by Herman Wouk.	10	111
""			
12	IN THE WET, by Nevil Shute.	13	2
""			
13	ZORBA THE GREEK, by Nikos Kazantzakis.	--	3
""			
14	EAST OF EDEN, by John Steinbeck.	8	35
""			
15	CORPUS OF JOE BAILEY, by Oakley Hall.	14	5
""			
16	NINE STORIES, by J.D. Salinger.	11	6
This	May 31, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	30
""			
2	ANNAPURNA, by Maurice Herzog.	2	19
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	5	15
""			
4	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	4	6
""			
5	HOLY BIBLE: REVISED STANDARD VERSION.	3	33
""			
6	THIS I BELIEVE, by Edward R. Murrow.	6	24
""			
7	A MAN CALLED PETER, by Catherine Marshall.	8	84
""			
8	THE WORLD AND THE WEST, by Arnold Toynbee.	7	8
""			
9	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	10	5
""			
10	PRINCE OF PLAYERS, by Eleanor Ruggles.	--	10
""			
11	ANGEL UNAWARE, by Dale Evans Rogers.	9	5
""			
12	POSTCARDS FROM DELAPLANE, by Stanton Delaplane.	11	7
""			
13	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	15	3
""			
14	PEOPLE, PLACES, AND BOOKS, by Gilbert Highet.	--	1
""			
15	ELIZABETH AND PHILIP, by Geoffrey Bocca.	--	1
""			
16	THE PRIVATE DINING ROOM, by Ogden Nash.	16	2
