This	August 19, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	18
""			
2	FROM HERE TO ETERNITY, by James Jones.	2	24
""			
3	RETURN TO PARADISE, by James A. Michener.	3	16
""			
4	THE CATCHER IN THE RYE, by J.D. Salinger.	7	4
""			
5	A WOMAN CALLED FANCY, by Frank Yerby.	4	13
""			
6	THE TROUBLED AIR, by Irwin Shaw.	5	9
""			
7	THE IRON MISTRESS, by Paul I. Wellman.	11	2
""			
8	PROUD NEW FLAGS, by F. Van Wyck Mason.	8	16
""			
9	THE FOUNDLING, by Francis Cardinal Spellman.	6	11
""			
10	THIS IS THE HOUR, by Lion Feuchtwanger.	10	11
""			
11	THE HIGH CALLING, by James Street.	9	8
""			
12	SCANDALOUS MRS.BLACKFORD, by Harnett T. Kane and Victor Leclerc.	13	8
""			
13	APRIL SNOW, by Lillian Budd.	12	10
""			
14	THE CRUEL SEA, by Nicholas Monsarrat.	--	1
""			
15	OLD HERBACEOUS, by Reginald Arkell.	15	22
""			
16	THE WATCH, by Carlo Levi.	--	1
This		August 19, 1951	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	KON-TIKI, by Thor Heyerdahl.		1	49
""				
2	THE SEA AROUND US, by Rachel Carson.		3	5
""				
3	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.		2	23
""				
4	A SOLDIER'S STORY, by Omar Nelson Bradley.		4	8
""				
5	A KING'S STORY, by Edward Windsor, Duke of Windsor.		5	17
""				
6	CRIME IN AMERICA, by Estes Kefauver.		6	4
""				
7	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.		7	22
""				
8	THE CHINA STORY, by Freda Utley.		8	12
""				
9	FIGHT AGAINST FEARS, by Lucy Freeman.		10	4
""				
10	BETTER HOMES AND GARDENS GARDEN BOOK, by Fleeta Brownell		9	18
""	Woodroffe.			
""				
11	THE NEW JOY OF COOKING, by Irma S. Rombauer and Marion Rombauer		14	3
""	Becker.			
""				
12	COMMUNISM, DEMOCRACY, AND CATHOLIC POWER, by Paul Blanshard.		11	11
""				
13	WE BARRYMORES, by Lionel Barrymore and Cameron Shipp.		16	12
""				
14	LIFEMANSHIP, by Stephen Potter.		15	4
""				
15	NATURE'S WAYS, by Roy Chapman Andrews.		13	5
""				
16	OUT OF THIS WORLD, by Lowell Thomas Jr.		--	32
