This	June 13, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	21
""			
2	BLESS THIS HOUSE, by Norah Lofts.	2	10
""			
3	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	3	5
""			
4	AWAY ALL BOATS, by Kenneth Dodson.	4	13
""			
5	THE SONG OF RUTH, by Frank G. Slaughter.	7	6
""			
6	THE DOLLMAKER, by Harriette Arnow.	9	5
""			
7	SAYONARA, by James A. Michener.	6	18
""			
8	THE GIPSY IN THE PARLOUR, by Margery Sharp.	10	6
""			
9	BHOWANI JUNCTION, by John Masters.	8	9
""			
10	THE NIGHT OF THE HUNTER, by Davis Grubb.	5	14
""			
11	THE SPIDER KING, by Lawrence Schoonover.	11	9
""			
12	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	--	1
""			
13	MR. HOBBS' VACATION, by Edward Streeter.	--	1
""			
14	PICTURES FROM AN INSTITUTION, by Randall Jarrell.	13	3
""			
15	THE BAD SEED, by William March.	15	3
""			
16	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	12	57
This	June 13, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	84
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	15
""			
3	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	3	13
""			
4	MINUTES OF THE LAST MEETING, by Gene Fowler.	4	8
""			
5	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	6	12
""			
6	SECOND TREE FROM THE CORNER, by E.B. White.	5	19
""			
7	THE REASON WHY, by Cecil Woodham-Smith.	11	4
""			
8	FINAL SECRET OF PEARL HARBOR, by Rear Admiral Robert A. Theobald.	8	5
""			
9	CELL 2455 DEATH ROW, by Caryl Chessman.	12	3
""			
10	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	7	9
""			
11	THE TAFT STORY, by William S. White.	9	7
""			
12	LIFE IS WORTH LIVING, by Fulton J. Sheen.	13	32
""			
13	THE MAN WHO NEVER WAS, by Ewen Montagu.	14	17
""			
14	THE JOURNEY, by Lillian Smith.	--	4
""			
15	I'LL CRY TOMORROW, by Lillian Roth.	--	1
""			
16	DIALOGUES OF ALFRED NORTH WHITEHEAD, by Lucien Price.	--	1
