This	November 8, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	BEYOND THIS PLACE, by A.J. Cronin.	1	15
""			
2	TIME AND TIME AGAIN, by James Hilton.	4	10
""			
3	TOO LATE THE PHALAROPE, by Alan Paton.	3	10
""			
4	DESIREE, by Annemarie Selinko.	2	41
""			
5	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	7	27
""			
6	THE UNCONQUERED, by Ben Ames Williams.	5	9
""			
7	BATTLE CRY, by Leon Uris.	6	26
""			
8	THE ADVENTURES OF AUGIE MARCH, by Saul Bellow.	8	6
""			
9	THE FEMALE, by Paul Wellman.	9	4
""			
10	THE DEVIL'S LAUGHTER, by Frank Yerby.	10	4
""			
11	THE ROBE, by Lloyd C. Douglas.	15	162
""			
12	LORD VANITY, by Samuel Shellabarger.	--	1
""			
13	THE LADY OF ARLINGTON, by Harnett T. Kane.	11	4
""			
14	COME, MY BELOVED, by Pearl S. Buck.	12	11
""			
15	THE HEART OF THE FAMILY, by Elizabeth Goudge.	13	5
""			
16	FROM HERE TO ETERNITY, by James Jones.	--	65
This	November 8, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	53
""			
2	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	3	6
""			
3	A HOUSE IS NOT A HOME, by Polly Adler.	2	21
""			
4	LELIA, by Andre Maurois.	5	7
""			
5	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	4	7
""			
6	GONE WITH THE WINDSORS, by Iles Brody.	7	6
""			
7	A MAN CALLED PETER, by Catherine Marshall.	8	107
""			
8	PERIOD PIECE, by Gwen Raverat.	6	10
""			
9	LIFE IS WORTH LIVING, by Fulton J. Sheen.	--	1
""			
10	HOLY BIBLE: REVISED STANDARD VERSION.	9	56
""			
11	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	12	2
""			
12	THE LIFE AND WORK OF FREUD, Vol. 1, by Ernst Jones.	14	2
""			
13	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	11	2
""			
14	THE GREATEST FAITH EVER KNOWN, by Fulton Oursler.	--	1
""			
15	ANGEL UNAWARE, by Dale Evans Rogers.	16	24
""			
16	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	13	38
