This	September 26, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	1	15
""			
2	NOT AS A STRANGER, by Morton Thompson.	2	36
""			
3	LOVE IS ETERNAL, by Irving Stone.	4	4
""			
4	SWEET THURSDAY, by John Steinbeck.	3	14
""			
5	A FABLE, by William Faulkner.	5	6
""			
6	THE ROYAL BOX, by Frances Parkinson Keyes.	6	14
""			
7	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	7	20
""			
8	THE FALL OF A TITAN, by Igor Gouzenko.	9	8
""			
9	THE DOLLMAKER, by Harriette Arnow.	8	20
""			
10	BLESS THIS HOUSE, by Norah Lofts.	--	24
""			
11	MR. HOBBS' VACATION, by Edward Streeter.	12	16
""			
12	THE GO-BETWEEN, by L.P. Hartley.	--	1
""			
13	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	11	16
""			
14	THE HEALING OATH, by Andre Soubiran.	10	6
""			
15	AWAY ALL BOATS, by Kenneth Dodson.	13	27
""			
16	THE IRON MAIDEN, by Edwin Lanham.	15	2
This	September 26, 1954	Last	Wee
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	99
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	16
""			
3	A CHILD OF THE CENTURY, by Ben Hecht.	3	13
""			
4	CALL TO GREATNESS, by Adlai E. Stevenson.	5	3
""			
5	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	4	30
""			
6	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	6	28
""			
7	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	7	11
""			
8	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	9	4
""			
9	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	8	27
""			
10	McCARTHY AND THE COMMUNISTS, by James Rorty and Moshe Decter.	--	1
""			
11	MADAME DE POMPADOUR, by Nancy Mitford.	11	14
""			
12	A PHILOSOPHY FOR OUR TIME, by Bernard M. Baruch.	14	2
""			
13	THE REASON WHY, by Cecil Woodham-Smith.	12	19
""			
14	MINUTES OF THE LAST MEETING, by Gene Fowler.	10	23
""			
15	REACH FOR THE SKY, by Paul Brickhill.	15	5
""			
16	CELL 2455 DEATH ROW, by Caryl Chessman.	13	18
