This	September 27, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	35
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	2	9
""			
3	BATTLE CRY, by Leon Uris.	3	20
""			
4	TOO LATE THE PHALAROPE, by Alan Paton.	5	4
""			
5	TIME AND TIME AGAIN, by James Hilton.	6	4
""			
6	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	21
""			
7	THE UNCONQUERED, by Ben Ames Williams.	7	3
""			
8	COME, MY BELOVED, by Pearl S. Buck.	10	5
""			
9	THE DARK ANGEL, by Mika Waltari.	9	15
""			
10	THE BRIDGES AT TOKO-RI, by James A. Michener.	8	9
""			
11	THE SILVER CHALICE, by Thomas B. Costain.	11	61
""			
12	THE CAINE MUTINY, by Herman Wouk.	--	123
""			
13	FROM HERE TO ETERNITY, by James Jones.	--	61
""			
14	SATAN IN THE SUBURBS, by Bertrand Russell.	--	4
""			
15	KINGFISHERS CATCH FIRE, by Rumer Godden.	15	16
""			
16	THE DEEP SIX, by Martin Dibner.	14	4
This	September 27, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	47
""			
2	A HOUSE IS NOT A HOME, by Polly Adler.	2	15
""			
3	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	--	1
""			
4	A MAN CALLED PETER, by Catherine Marshall.	4	101
""			
5	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	3	20
""			
6	ANNAPURNA, by Maurice Herzog.	6	36
""			
7	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	5	32
""			
8	CALL ME LUCKY, by Bing Crosby.	7	11
""			
9	HOLY BIBLE: REVISED STANDARD VERSION.	11	50
""			
10	FATHER, DEAR FATHER, by Ludwig Bemelmans.	9	3
""			
11	PERIOD PIECE, by Gwen Raverat.	8	4
""			
12	INDIA AND THE AWAKENING EAST, by Eleanor Roosevelt.	10	7
""			
13	ANGEL UNAWARE, by Dale Evans Rogers.	15	20
""			
14	LELIA, by Maurois.	--	1
""			
15	LIFE AMONG THE SAVAGES, by Shirley Jackson.	14	11
""			
16	HORN OF THE HUNTER, by Robert Ruark.	13	4
