This	April 25, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	14
""			
2	SAYONARA, by James A. Michener.	2	11
""			
3	BLESS THIS HOUSE, by Norah Lofts.	4	3
""			
4	AWAY ALL BOATS, by Kenneth Dodson.	3	6
""			
5	THE NIGHT OF THE HUNTER, by Davis Grubb.	6	7
""			
6	LORD VANITY, by Samuel Shellabarger.	5	25
""			
7	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	7	51
""			
8	BHOWANI JUNCTION, by John Masters.	11	2
""			
9	TOMORROW!, by Philip Wylie.	8	12
""			
10	THE DESPERATE HOURS, by Joseph Hayes.	15	4
""			
11	THE LADY OF ARLINGTON, by Harnett T. Kane.	12	28
""			
12	LOVE IS A BRIDGE, by Charles Bracelen Flood.	16	23
""			
13	THE SPIDER KING, by Lawrence Schoonover.	13	2
""			
14	THE FEMALE, by Paul Wellman.	10	28
""			
15	RAINBOW ON THE ROAD, by Esther Forbes.	9	10
""			
16	BATTLE CRY, by Leon Uris.	14	50
This	April 25, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	1	8
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	77
""			
3	SECOND TREE FROM THE CORNER, by E.B. White.	3	12
""			
4	LIFE IS WORTH LIVING, by Fulton J. Sheen.	5	25
""			
5	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	9	6
""			
6	THE MAN WHO NEVER WAS, by Ewen Montagu.	6	10
""			
7	THE CONQUEST OF EVEREST, by Sir John Hunt.	4	12
""			
8	SEVEN YEARS IN TIBET, by Heinrich Harrer.	7	6
""			
9	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	8	5
""			
10	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	11	2
""			
11	MINUTES OF THE LAST MEETING, by Gene Fowler.	--	1
""			
12	THE TWENTY-YEAR REVOLUTION, by Chesly Manly.	14	5
""			
13	AMBASSADOR'S REPORT, by Chester Bowles.	12	14
""			
14	FIRE IN THE ASHES, by Theodore Harold White.	10	21
""			
15	A MAN CALLED PETER, by Catherine Marshall.	--	130
""			
16	HOLY BIBLE: REVISED STANDARD VERSION.	--	65
