This	January 11, 1959	Last	Weeks
Week	Fiction	Week	On List
""			
1	DOCTOR ZHIVAGO, by Boris Pasternak. (Random House Inc.)	1	16
""			
2	LOLITA, by Vladimir Nabokov. (G.P. Putnam's Sons.)	2	20
""			
3	FROM THE TERRACE, by John O'Hara. (Random House.)	3	6
""			
4	EXODUS, by Leon Uris. (Doubleday.)	4	14
""			
""	AROUND THE WORLD WITH AUNTIE MAME, by Patrick Dennis. (Harcourt,		
5		5	20
""	Brace and Company.)		
""			
""	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick. (W.W. Norton		
6		6	12
""	and Company.)		
""			
""	WOMEN AND THOMAS HARROW, by John P. Marquand. (Little, Brown and		
7		7	14
""	Company.)		
""			
8	VICTORINE, by Frances Parkinson Keyes. (Julian Messner, Inc.)	8	9
""			
9	ANATOMY OF A MURDER, by Robert Traver. (St. Martin's.)	9	51
""			
10	THE KING MUST DIE, by Mary Renault. (Pantheon.)	10	24
""			
11	THE BEST OF EVERYTHING, by Rona Jaffe. (Simon and Schuster.)	11	17
""			
12	MRS. ARRIS GOES TO PARIS, by Paul Gallico. (Doubleday and Company, Inc.)	16	3
""			
13	ANGELIQUE, by Sergeanne Golon. (J.B. Lippincott.)	--	13
""			
14	THE MOUNTAIN IS YOUNG, by Han Suyin. (Jonathan Cape.)	12	10
""			
15	THE RAINBOW AND THE ROSE, by Nevil Shute. (William Morrow.)	14	9
""			
""	THE ONCE AND FUTURE KING, by Terence Hanbury White. (G.P. Putnam's		
16		--	8
""	Sons.)		
This	January 11, 1959	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ONLY IN AMERICA, by Harry Lewis Golden. (World Publishing Co.)	1	24
""			
2	AKU-AKU, by Thor Heyerdahl. (Rand McNally and Company.)	2	17
""			
""	THE MEMOIRS OF FIELD-MARSHALL MONTGOMERY, by Field Marshall		
3		3	10
""	Montgomery. (World Publishing Co.)		
""			
""	WEDEMEYER REPORTS!, by General Albert C. Wedemeyer. (Henry Holt and		
4		4	6
""	Co.)		
""			
5	"BAA BAA BLACK SHEEP, by Gregory ""Pappy"" Boyington. (Wilson Press.)"	5	22
""			
6	TWIXT TWELVE AND TWENTY, by Pat Boone. (Prentice-Hall, Inc.)	6	3
""			
7	THE THREE EDWARDS, by Thomas B. Costain. (Doubleday and Company.)	10	9
""			
8	ON MY OWN, by Eleanor Roosevelt. (Harper and Brothers.)	7	15
""			
9	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	9	60
""			
""	THE AFFLUENT SOCIETY, by John Kenneth Galbraith. (Houghton Mifflin		
10		--	29
""	Company.)		
""			
11	THE PROUD POSSESSORS, by Aline B. Saarinen. (Random House.)	11	7
""			
12	INSIDE RUSSIA TODAY, by John Gunther. (Harper and Brothers.)	--	36
""			
""	CHICAGO: A PICTORIAL HISTORY, by Herman Kogan and Lloyd Wendt. (E. P.		
13		8	6
""	Dutton.)		
""			
14	HERBLOCK'S SPECIAL FOR TODAY, by Herbert Block. (Simon and Schuster.)	14	9
""			
15	ABANDON SHIP!, by Richard F. Newcomb. (Henry Holt and Company.)	15	14
""			
16	THE GREAT CHICAGO FIRE, by Robert Cromie. (McGraw-Hill.)	13	11
