This	December 9, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	PEYTON PLACE, by Grace Metalious. (Simon and Schuster, Inc.)	1	11
""			
2	DON'T GO NEAR THE WATER, by William Brinkley. (Random House Inc.)	2	21
""			
""	THE TRIBE THAT LOST ITS HEAD, by Nicholas Monsarrat. (William Sloane		
3		4	5
""	Associates.)		
""			
4	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	3	91
""			
5	THE LAST HURRAH, by Edwin O'Connor. (Little, Brown and Co.)	5	42
""			
6	COMPULSION, by Meyer Levin. (Simon and Schuster.)	9	4
""			
7	KING OF PARIS, by Guy Endore. (Cresset Press.)	7	8
""			
8	A CERTAIN SMILE, by Francoise Sagan. (E. P. Dutton and Company, Inc.)	6	17
""			
9	JERICHO'S DAUGHTERS, by Paul Wellman. (Doubleday.)	8	7
""			
10	THE LOVING COUPLE, by Virginia Rowans. (Thomas Y. Crowell.)	10	11
""			
11	THE SUCCESS, by Helen Howe. (Simon and Schuster.)	11	9
""			
12	MERRY CHRISTMAS, MR. BAXTER, by Edward Streeter. (Harper and Brothers.)	12	2
""			
13	RACHEL CADE, by Charles E. Mercer. (G. P. Putnam's Sons.)	15	7
""			
14	ANGLO-SAXON ATTITUDES, by Angus Wilson. (Viking.)	16	7
""			
15	DELUXE TOUR, by Frederic Wakeman. (Rinehart.)	--	2
""			
16	OUR VALIANT FEW, by F Van Wyck Mason. (Little Brown and Company.)	13	4
This	December 9, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE NUN'S STORY, by Kathryn Hulme. (Little, Brown and Company.)	1	11
""			
2	THIS HALLOWED GROUND, by Bruce Catton. (Doubleday and Company.)	2	4
""			
3	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	3	47
""			
4	MEN TO MATCH MY MOUNTAINS, by Irving Stone. (Doubleday.)	5	8
""			
5	ARTHRITIS AND COMMON SENSE, by Dale Alexander. (Witkower Press Inc.)	4	35
""			
6	THE OUTSIDER, by Colin Wilson. (Houghton Mifflin Company.)	6	10
""			
""	THREE SAINTS AND A SINNER, by Louise Hall Tharp. (Little, Brown and		
7		8	7
""	Company.)		
""			
8	THE NEW WORLD, by Winston S. Churchill. (Dodd, Mead and Company.)	12	2
""			
""	THE UNICORN AND OTHER POEMS, by Anne Morrow Lindbergh. (Pantheon		
9		7	10
""	Books.)		
""			
10	AUTUMN ACROSS AMERICA, by Edwin Way Teale. (Dodd, Mead and Co.)	10	5
""			
11	MUCH ADO ABOUT ME, by Fred Allen. (Little, Brown and Co.)	--	1
""			
12	EISENHOWER, by Robert J. Donovan. (Harper and Brothers.)	14	22
""			
""	THE HEART HAS ITS REASONS, by Wallis Warfield Windsor, Duchess of		
13		9	8
""	Windsor. (David McKay Company.)		
""			
""	AN HISTORIAN'S APPROACH TO RELIGION, by Arnold Joseph Toynbee.		
14		11	10
""	(Oxford University Press.)		
""			
15	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	13	90
""			
16	LOVE OR PERISH, by Smiley Blanton. (Simon and Schuster.)	--	42
