This	January 3, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LORD VANITY, by Samuel Shellabarger.	1	9
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	2	23
""			
3	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	3	35
""			
4	TIME AND TIME AGAIN, by James Hilton.	4	18
""			
5	THE LADY OF ARLINGTON, by Harnett T. Kane.	5	12
""			
6	BATTLE CRY, by Leon Uris.	7	34
""			
7	THE FEMALE, by Paul Wellman.	8	12
""			
8	TOO LATE THE PHALAROPE, by Alan Paton.	9	18
""			
9	THE ROBE, by Lloyd C. Douglas.	13	170
""			
10	THE DOCTORS, by Andre Soubiran.	12	5
""			
11	DESIREE, by Annemarie Selinko.	6	49
""			
12	THE UNCONQUERED, by Ben Ames Williams.	11	17
""			
13	THE SILVER CHALICE, by Thomas B. Costain.	--	65
""			
14	THE SHADOWS OF THE IMAGES, by William E. Barrett.	10	7
""			
15	A PASSAGE IN THE NIGHT, by Sholem Asch.	16	5
""			
16	LOVE IS A BRIDGE, by Charles Bracelen Flood.	14	7
This	January 3, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	61
""			
2	LIFE IS WORTH LIVING, by Fulton J. Sheen.	2	9
""			
3	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	3	3
""			
4	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	4	14
""			
5	THE SECRET DIARY OF HAROLD L. ICKES, by Harold L. Ickes.	10	3
""			
6	LELIA, by Andre Maurois.	5	15
""			
7	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	8	10
""			
8	A MAN CALLED PETER, by Catherine Marshall.	6	115
""			
9	FIRE IN THE ASHES, by Theodore Harold White.	11	5
""			
10	GONE WITH THE WINDSORS, by Iles Brody.	7	14
""			
11	PERIOD PIECE, by Gwen Raverat.	9	18
""			
12	THURBER COUNTRY, by James Thurber.	13	3
""			
13	FABULOUS CHICAGO, by Emmett Dedmon.	14	7
""			
14	MAN, TIME AND FOSSILS, by Ruth E. Moore.	--	4
""			
15	THE GREATEST FAITH EVER KNOWN, by Fulton Oursler.	15	5
""			
16	HOLY BIBLE: REVISED STANDARD VERSION.	16	62
