This	November 26, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	ACROSS THE RIVER AND INTO THE TREES, by Ernest Hemingway.	1	10
""			
2	THE CARDINAL, by Henry Morton Robinson.	2	34
""			
3	THE ADVENTURER, by Mika Waltari.	3	8
""			
4	THE DISENCHANTED, by Budd Schulberg.	4	4
""			
5	SON OF A HUNDRED KINGS, by Thomas B. Costain.	5	3
""			
6	FLOODTIDE, by Frank Yerby.	6	13
""			
7	THE LITTLE WORLD OF DON CAMILLO, by Giovanni Guareschi.	8	12
""			
8	THE WIDOW, by Susan Yorke.	9	6
""			
9	JUBILEE TRAIL, by Gwen Bristow.	10	40
""			
10	THE SPANISH GARDENER, by A.J. Cronin.	7	11
""			
11	BENNETT'S WELCOME, by Inglis Fletcher.	11	4
""			
12	OWEN GLEN, by Ben Ames Williams.	12	11
""			
13	THE SIGN OF JONAH, by Nancy Hale.	14	3
""			
14	PATHWAY TO THE STARS, by Harnett T. Kane.	--	1
""			
15	HELENA, by Evelyn Waugh.	15	4
""			
16	COUNTRY CHRONICLE, by Angela Thirkell.	--	1
This	November 26, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	KON-TIKI, by Thor Heyerdahl.	1	11
""			
2	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	2	33
""			
3	BELLES ON THEIR TOES, by Frank B. Gilbreth and Ernestine Gilbreth Carey.	3	6
""			
4	NUTS IN MAY, by Cornelia Otis Skinner.	6	6
""			
5	COURTROOM, by Quentin Reynolds.	4	24
""			
6	BOSWELL'S LONDON JOURNAL, by Frederick A. Pottle.	--	1
""			
7	BEHIND THE FLYING SAUCERS, by Frank Scully.	5	9
""			
8	DIANETICS, by L. Ron Hubbard.	7	24
""			
9	THE MATURE MIND, by Harry Allen Overstreet.	8	66
""			
10	PRESIDENTS WHO HAVE KNOWN ME, by George E. Allen.	11	4
""			
11	THE LITTLE PRINCESSES, by Marion Crawford.	9	18
""			
12	TRUMAN MERRY-GO-ROUND, by Robert S. Allen and William V. Shannon.	16	7
""			
13	CALCULATED RISK, by Mark W. Clark.	10	3
""			
14	LIFT UP YOUR HEART, by Fulton J. Sheen.	15	4
""			
15	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	13	36
""			
16	HOW TO LAY A NEST EGG, by Edgar Scott.	14	2
