This	January 24, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LORD VANITY, by Samuel Shellabarger.	1	12
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	2	26
""			
3	TIME AND TIME AGAIN, by James Hilton.	4	21
""			
4	THE LADY OF ARLINGTON, by Harnett T. Kane.	5	15
""			
5	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	3	38
""			
6	BATTLE CRY, by Leon Uris.	7	37
""			
7	THE FEMALE, by Paul Wellman.	6	15
""			
8	THE DOCTORS, by Andre Soubiran.	8	8
""			
9	THE UNCONQUERED, by Ben Ames Williams.	11	20
""			
10	THE ROBE, by Lloyd C. Douglas.	9	173
""			
11	NOT AS A STRANGER, by Morton Thompson.	--	1
""			
12	TOO LATE THE PHALAROPE, by Alan Paton.	15	21
""			
13	DESIREE, by Annemarie Selinko.	10	52
""			
14	LOVE IS A BRIDGE, by Charles Bracelen Flood.	13	10
""			
15	THE SILVER CHALICE, by Thomas B. Costain.	12	68
""			
16	A PASSAGE IN THE NIGHT, by Sholem Asch.	--	7
This	January 24, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	64
""			
2	LIFE IS WORTH LIVING, by Fulton J. Sheen.	2	12
""			
3	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	3	6
""			
4	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	4	17
""			
5	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	7	13
""			
6	THE SECRET DIARY OF HAROLD L. ICKES, by Harold L. Ickes.	5	6
""			
7	LELIA, by Andre Maurois.	6	18
""			
8	FIRE IN THE ASHES, by Theodore Harold White.	8	8
""			
9	PERIOD PIECE, by Gwen Raverat.	11	21
""			
10	A MAN CALLED PETER, by Catherine Marshall.	9	118
""			
11	FABULOUS CHICAGO, by Emmett Dedmon.	12	10
""			
12	GONE WITH THE WINDSORS, by Iles Brody.	10	17
""			
13	AMBASSADOR'S REPORT, by Chester Bowles.	--	1
""			
14	HOLY BIBLE: REVISED STANDARD VERSION.	--	64
""			
15	THE GREATEST FAITH EVER KNOWN, by Fulton Oursler.	13	8
""			
16	MAN, TIME AND FOSSILS, by Ruth E. Moore.	--	6
