This	August 30, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	31
""			
2	BATTLE CRY, by Leon Uris.	2	16
""			
3	BEYOND THIS PLACE, by A.J. Cronin.	4	5
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	3	17
""			
5	THE DARK ANGEL, by Mika Waltari.	6	11
""			
6	THE BRIDGES AT TOKO-RI, by James A. Michener.	5	5
""			
7	THE EMPEROR'S LADY, by F.W. Kenyon.	7	11
""			
8	KINGFISHERS CATCH FIRE, by Rumer Godden.	9	12
""			
9	THE SILVER CHALICE, by Thomas B. Costain.	8	57
""			
10	YOU SHALL KNOW THEM, by Rita Vercors.	11	6
""			
11	COME, MY BELOVED, by Pearl S. Buck.	--	1
""			
12	THE SCHIRMER INHERITANCE, by Eric Ambler.	12	3
""			
13	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	10	23
""			
14	SATAN IN THE SUBURBS, by Bertrand Russell.	16	2
""			
15	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	15	26
""			
16	IN THE WET, by Nevil Shute.	--	13
This	August 30, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	43
""			
2	A HOUSE IS NOT A HOME, by Polly Adler.	2	11
""			
3	ANNAPURNA, by Maurice Herzog.	3	32
""			
4	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	5	16
""			
5	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	4	28
""			
6	CALL ME LUCKY, by Bing Crosby.	6	7
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	97
""			
8	LIFE AMONG THE SAVAGES, by Shirley Jackson.	--	7
""			
9	HOLY BIBLE: REVISED STANDARD VERSION.	10	46
""			
10	NORTH FROM MALAYA, by William O. Douglas.	8	11
""			
11	INDIA AND THE AWAKENING EAST, by Eleanor Roosevelt.	9	3
""			
12	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	12	19
""			
13	THE ROMMEL PAPERS, by B.H. Liddell Hart.	11	13
""			
14	ANGEL UNAWARE, by Dale Evans Rogers.	--	17
""			
15	UNCLE POGO SO-SO STORIES, by Walt Kelly.	15	13
""			
16	THIS I BELIEVE, by Edward R. Murrow.	13	37
