This	September 13, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	33
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	3	7
""			
3	BATTLE CRY, by Leon Uris.	2	18
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	19
""			
5	TIME AND TIME AGAIN, by James Hilton.	9	2
""			
6	TOO LATE THE PHALAROPE, by Alan Paton.	10	2
""			
7	THE DARK ANGEL, by Mika Waltari.	5	13
""			
8	THE BRIDGES AT TOKO-RI, by James A. Michener.	6	7
""			
9	THE UNCONQUERED, by Ben Ames Williams.	--	1
""			
10	COME, MY BELOVED, by Pearl S. Buck.	7	3
""			
11	THE SILVER CHALICE, by Thomas B. Costain.	11	59
""			
12	THE EMPEROR'S LADY, by F.W. Kenyon.	8	13
""			
13	KINGFISHERS CATCH FIRE, by Rumer Godden.	13	14
""			
14	THE DEEP SIX, by Martin Dibner.	16	2
""			
15	THE SCHIRMER INHERITANCE, by Eric Ambler.	--	4
""			
16	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	--	24
This	September 13, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	45
""			
2	A HOUSE IS NOT A HOME, by Polly Adler.	2	13
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	5	30
""			
4	ANNAPURNA, by Maurice Herzog.	6	34
""			
5	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	3	18
""			
6	A MAN CALLED PETER, by Catherine Marshall.	4	99
""			
7	CALL ME LUCKY, by Bing Crosby.	7	9
""			
8	HOLY BIBLE: REVISED STANDARD VERSION.	8	48
""			
9	PERIOD PIECE, by Gwen Raverat.	13	2
""			
10	INDIA AND THE AWAKENING EAST, by Eleanor Roosevelt.	10	5
""			
11	FATHER, DEAR FATHER, by Ludwig Bemelmans.	--	1
""			
12	THE ROMMEL PAPERS, by B.H. Liddell Hart.	9	15
""			
13	NORTH FROM MALAYA, by William O. Douglas.	11	13
""			
14	ANGEL UNAWARE, by Dale Evans Rogers.	--	18
""			
15	LIFE AMONG THE SAVAGES, by Shirley Jackson.	15	9
""			
16	HORN OF THE HUNTER, by Robert Ruark.	12	2
