This	February 28, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	6
""			
2	LORD VANITY, by Samuel Shellabarger.	2	17
""			
3	SAYONARA, by James A. Michener.	3	3
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	43
""			
5	BEYOND THIS PLACE, by A.J. Cronin.	6	31
""			
6	THE LADY OF ARLINGTON, by Harnett T. Kane.	5	20
""			
7	TOMORROW!, by Philip Wylie.	8	4
""			
8	THE FEMALE, by Paul Wellman.	10	20
""			
9	BATTLE CRY, by Leon Uris.	7	42
""			
10	CRESS DELAHANTY, by Jessamyn West.	11	5
""			
11	THE DOCTORS, by Andre Soubiran.	9	13
""			
12	RAINBOW ON THE ROAD, by Esther Forbes.	13	2
""			
13	LOVE IS A BRIDGE, by Charles Bracelen Flood.	12	15
""			
14	TIME AND TIME AGAIN, by James Hilton.	14	26
""			
15	THE PONDER HEART, by Eudora Welty.	--	1
""			
16	THE NAKED RISK, by Phyllis Gordon Demarest.	--	1
This	February 28, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	69
""			
2	SECOND TREE FROM THE CORNER, by E.B. White.	3	4
""			
3	THE CONQUEST OF EVEREST, by Sir John Hunt.	4	4
""			
4	LIFE IS WORTH LIVING, by Fulton J. Sheen.	2	17
""			
5	THE MAN WHO NEVER WAS, by Ewen Montagu.	10	2
""			
6	FIRE IN THE ASHES, by Theodore Harold White.	5	13
""			
7	AMBASSADOR'S REPORT, by Chester Bowles.	9	6
""			
8	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	6	11
""			
9	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	7	18
""			
10	THE SECRET DIARY OF HAROLD L. ICKES, by Harold L. Ickes.	8	11
""			
11	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	12	22
""			
12	LELIA, by Andre Maurois.	11	23
""			
13	THE GREAT IRON SHIP, by James Dugan.	--	1
""			
14	A MAN CALLED PETER, by Catherine Marshall.	13	123
""			
15	A STILLNESS AT APPOMATTOX, by Bruce Catton.	14	6
""			
16	PERIOD PIECE, by Gwen Raverat.	--	25
