This	July 4, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	24
""			
2	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	2	8
""			
3	BLESS THIS HOUSE, by Norah Lofts.	3	13
""			
4	SWEET THURSDAY, by John Steinbeck.	8	2
""			
5	MARY ANNE, by Daphne du Maurier.	9	3
""			
6	THE ROYAL BOX, by Frances Parkinson Keyes.	10	2
""			
7	THE DOLLMAKER, by Harriette Arnow.	4	8
""			
8	AWAY ALL BOATS, by Kenneth Dodson.	5	16
""			
9	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	6	4
""			
10	THE SONG OF RUTH, by Frank G. Slaughter.	7	9
""			
11	MR. HOBBS' VACATION, by Edward Streeter.	11	4
""			
12	THE TUNNEL OF LOVE, by Peter De Vries.	--	2
""			
13	THE BAD SEED, by William March.	--	4
""			
14	THE WORLD IN THE EVENING, by Christopher Isherwood.	--	1
""			
15	THE NIGHT OF THE HUNTER, by Davis Grubb.	13	17
""			
16	THE GIPSY IN THE PARLOUR, by Margery Sharp.	16	9
This	July 4, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	87
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	18
""			
3	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	3	16
""			
4	MINUTES OF THE LAST MEETING, by Gene Fowler.	4	11
""			
5	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	5	15
""			
6	SECOND TREE FROM THE CORNER, by E.B. White.	6	22
""			
7	I'LL CRY TOMORROW, by Lillian Roth.	9	4
""			
8	THE REASON WHY, by Cecil Woodham-Smith.	7	7
""			
9	CELL 2455 DEATH ROW, by Caryl Chessman.	8	6
""			
10	MADAME DE POMPADOUR, by Nancy Mitford.	16	2
""			
11	FINAL SECRET OF PEARL HARBOR, by Rear Admiral Robert A. Theobald.	15	8
""			
12	A CHILD OF THE CENTURY, by Ben Hecht.	--	1
""			
13	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	10	12
""			
14	OF WHALES AND MEN, by R.B. Robertson.	--	1
""			
15	SEVEN YEARS IN TIBET, by Heinrich Harrer.	12	15
""			
16	JOURNEY TO THE FAR AMAZON, by Alain Gheerbrant.	--	1
