This	September 5, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	1	12
""			
2	NOT AS A STRANGER, by Morton Thompson.	2	33
""			
3	SWEET THURSDAY, by John Steinbeck.	3	11
""			
4	THE ROYAL BOX, by Frances Parkinson Keyes.	4	11
""			
5	A FABLE, by William Faulkner.	5	3
""			
6	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	6	17
""			
7	THE FALL OF A TITAN, by Igor Gouzenko.	8	5
""			
8	THE DOLLMAKER, by Harriette Arnow.	7	17
""			
9	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	10	13
""			
10	MR. HOBBS' VACATION, by Edward Streeter.	12	13
""			
11	THE HEALING OATH, by Andre Soubiran.	11	3
""			
12	DON CAMILLO'S DILEMMA, by Giovanni Guareschi.	13	7
""			
13	A WREATH FOR THE ENEMY, by Pamela Frankau.	--	7
""			
14	BLESS THIS HOUSE, by Norah Lofts.	9	22
""			
15	THE SONG OF RUTH, by Frank G. Slaughter.	14	18
""			
16	LOVE IS ETERNAL, by Irving Stone.	--	1
This	September 5, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	96
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	13
""			
3	A CHILD OF THE CENTURY, by Ben Hecht.	3	10
""			
4	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	4	27
""			
5	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	5	25
""			
6	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	10	8
""			
7	MINUTES OF THE LAST MEETING, by Gene Fowler.	7	20
""			
8	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	6	24
""			
9	CELL 2455 DEATH ROW, by Caryl Chessman.	11	15
""			
10	MADAME DE POMPADOUR, by Nancy Mitford.	8	11
""			
11	THE REASON WHY, by Cecil Woodham-Smith.	9	16
""			
12	FUTURE INDEFINITE, by Noel Coward.	13	5
""			
13	REACH FOR THE SKY, by Paul Brickhill.	15	2
""			
14	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	--	1
""			
15	INSIDE NANTUCKET, by Frank Gilbreth Jr.	--	1
""			
16	SECOND TREE FROM THE CORNER, by E.B. White.	--	30
