This	June 29, 1952	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	63
""			
2	MY COUSIN RACHEL, by Daphne du Maurier.	2	20
""			
3	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	3	13
""			
4	THE HOUSES IN BETWEEN, by Howard Spring.	4	7
""			
5	THE SARACEN BLADE, by Frank Yerby.	5	10
""			
6	THE CRUEL SEA, by Nicholas Monsarrat.	6	46
""			
7	THE GOLDEN HAND, by Edith Simon.	7	7
""			
8	THE HIDDEN FLOWER, by Pearl S. Buck.	10	4
""			
9	THE DEVIL'S ADVOCATE, by Taylor Caldwell.	11	7
""			
10	S P Q R, by Paul Hyde Bonner.	12	12
""			
11	INVISIBLE MAN, by Ralph Ellison.	8	8
""			
12	WINDOM'S WAY, by James Ramsey Ullman.	9	3
""			
13	THE ALEXANDRIANS, by Charles Mills.	15	2
""			
14	THE SWIMMING POOL, by Mary Roberts Rinehart.	13	21
""			
15	LIEUTENANT HORNBLOWER, by C.S. Forester.	14	11
""			
16	EAST SIDE GENERAL, by Frank G. Slaughter.	--	4
This	June 29, 1952	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WITNESS, by Whittaker Chambers.	1	5
""			
2	THE SEA AROUND US, by Rachel Carson.	2	50
""			
3	A MAN CALLED PETER, by Catherine Marshall.	3	36
""			
4	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	5	5
""			
5	U.S.A. CONFIDENTIAL, by Jack Lait and Lee Mortimer.	4	15
""			
6	UNDER THE SEA-WIND, by Rachel Carson.	6	10
""			
7	THE THURBER ALBUM, by James Thurber.	15	2
""			
8	ADVENTURES IN TWO WORLDS, by A.J. Cronin.	10	16
""			
9	THE MEMOIRS OF HERBERT HOOVER, Vol. 2, by Herbert Hoover.	7	7
""			
10	WINSTON CHURCHILL, by Robert Lewis Taylor.	--	1
""			
11	MR. PRESIDENT, by William Hillman.	9	13
""			
12	BOSWELL IN HOLAND, by Frederick A. Pottle.	11	8
""			
13	ELIZABETH, THE QUEEN, by Marion Crawford.	8	13
""			
14	THE SPIRIT OF LIBERTY, by Irving Dillard.	--	2
""			
15	WORKING WITH ROOSEVELT, by Samuel Irving Rosenman.	13	2
""			
16	GODS, GRAVES AND SCHOLARS, by C.W. Ceram.	--	29
