This	December 26, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LOVE IS ETERNAL, by Irving Stone.	1	17
""			
2	THE VIEW FROM POMPEY'S HEAD, by Hamilton Basso.	2	8
""			
3	KATHERINE, by Anya Seton.	3	11
""			
4	NO TIME FOR SERGEANTS, by Mac Hyman.	5	10
""			
5	SOLDIER OF FORTUNE, by Ernest Kellogg Gann.	4	10
""			
6	MY BROTHER'S KEEPER, by Marcia Davenport.	6	7
""			
7	NOT AS A STRANGER, by Morton Thompson.	8	49
""			
8	MARY ANNE, by Daphne du Maurier.	7	28
""			
9	GOOD MORNING, MISS DOVE, by Frances Gray Patton.	9	5
""			
10	BENTON'S ROW, by Frank Yerby.	11	2
""			
11	BLUE HURRICANE, by F. Van Wyck Mason.	12	6
""			
12	HADRIAN'S MEMOIRS, by Marguerite Yourcenar.	10	3
""			
13	THE ROYAL BOX, by Frances Parkinson Keyes.	--	26
""			
14	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	--	29
""			
15	LORD GRIZZLY, by Frederick Manfred.	--	3
""			
16	THE DOLLMAKER, by Harriette Arnow.	--	30
This	December 26, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	112
""			
2	THE TUMULT AND THE SHOUTING, by Grantland Rice.	2	6
""			
3	ABRAHAM LINCOLN, by Carl Sandburg.	3	11
""			
4	THE SATURDAY EVENING POST TREASURY, by Roger Butterfield.	5	6
""			
5	I'LL CRY TOMORROW, by Lillian Roth.	4	29
""			
6	MY SEVERAL WORLDS, by Pearl S. Buck.	6	5
""			
7	THE PRAYERS OF PETER MARSHALL, by Catherine Marshall.	9	5
""			
8	MELBOURNE, by David Cecil.	10	12
""			
9	R.S.V.P. ELSA MAXWELL'S OWN STORY, by Elsa Maxwell.	8	7
""			
10	CALL TO GREATNESS, by Adlai E. Stevenson.	7	16
""			
11	AN ENCYCLOPEDIA OF MODERN AMERICAN HUMOR, by Bennett Cerf.	12	2
""			
12	THE WHITE GATE, by Mary Ellen Chase.	--	1
""			
13	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	11	24
""			
14	TREADMILL TO OBLIVION, by Fred Allen.	--	1
""			
15	THE STORY OF MAN, by Carleton S. Coon.	--	2
""			
16	AN ALMANAC OF LIBERTY, by William O. Douglas.	13	2
