This	August 31, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	72
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	5
""			
3	THE HOUSES IN BETWEEN, by Howard Spring.	3	16
""			
4	MATADOR, by Barnaby Conrad.	4	8
""			
5	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	5	22
""			
6	MY COUSIN RACHEL, by Daphne du Maurier.	6	29
""			
7	THE HIDDEN FLOWER, by Pearl S. Buck.	7	13
""			
8	THE CRUEL SEA, by Nicholas Monsarrat.	8	55
""			
9	CATHERINE CARTER, by Pamela Hansford Johnson.	9	4
""			
10	SCALPEL, by Horace McCoy.	12	7
""			
11	THE SINNER OF SAINT AMBROSE, by Robert Reynolds.	--	1
""			
12	THE SARACEN BLADE, by Frank Yerby.	11	19
""			
13	THE ALEXANDRIANS, by Charles Mills.	14	11
""			
14	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	--	1
""			
15	THE SHINING TIDES, by Win Brooks.	10	5
""			
16	THE FANCY DRESS PARTY, by Alberto Moravia.	--	1
This	August 31, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	WITNESS, by Whittaker Chambers.	1	14
""			
2	THE SEA AROUND US, by Rachel Carson.	2	59
""			
3	A MAN CALLED PETER, by Catherine Marshall.	3	45
""			
4	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	4	9
""			
5	THE THURBER ALBUM, by James Thurber.	8	11
""			
6	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	5	14
""			
7	SUBMARINE, by Edward L. Beach.	9	7
""			
8	POSTMARKED MOSCOW, by Lydia Kirk.	6	4
""			
9	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	10	3
""			
10	JOURNEY TO THE FAR PACIFIC, by Thomas E. Dewey.	7	5
""			
11	THE GREAT ENTERPRISE, by H.A. Overstreet.	--	1
""			
12	GIVE THE LADY WHAT SHE WANTS, by Lloyd Wendt and Herman Kogan.	--	11
""			
13	IN ONE EAR, by Eric Severeid.	14	4
""			
14	U.S.A. CONFIDENTIAL, by Jack Lait and Lee Mortimer.	12	24
""			
15	THEODORA AND THE EMPEROR, by Harold Lamb.	13	2
""			
16	WINSTON CHURCHILL, by Robert Lewis Taylor.	15	9
