This	December 23, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	PEYTON PLACE, by Grace Metalious. (Simon and Schuster, Inc.)	1	13
""			
2	DON'T GO NEAR THE WATER, by William Brinkley. (Random House Inc.)	2	23
""			
""	THE TRIBE THAT LOST ITS HEAD, by Nicholas Monsarrat. (William Sloane		
3		3	7
""	Associates.)		
""			
4	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	4	93
""			
5	COMPULSION, by Meyer Levin. (Simon and Schuster.)	5	6
""			
6	THE LAST HURRAH, by Edwin O'Connor. (Little, Brown and Co.)	6	44
""			
7	KING OF PARIS, by Guy Endore. (Cresset Press.)	7	10
""			
8	JERICHO'S DAUGHTERS, by Paul Wellman. (Doubleday.)	9	9
""			
9	MERRY CHRISTMAS, MR. BAXTER, by Edward Streeter. (Harper and Brothers.)	12	4
""			
10	THE LOVING COUPLE, by Virginia Rowans. (Thomas Y. Crowell.)	8	13
""			
11	A CERTAIN SMILE, by Francoise Sagan. (E. P. Dutton and Company, Inc.)	10	19
""			
12	THE FOUNTAIN OVERFLOWS, by Rebecca West. (Viking Press.)	--	1
""			
13	THE WRECK OF THE MARY DEARE, by Hammond Innes. (Alfred A. Knopf.)	14	2
""			
14	THESE THOUSAND HILLS, by A.B. Guthrie Jr. (Houghton Mifflin.)	13	2
""			
15	ANGLO-SAXON ATTITUDES, by Angus Wilson. (Viking.)	16	9
""			
16	BORN IN WEDLOCK, by Margaret Echard. (Doubleday and Company, Inc.)	15	2
This	December 23, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE NUN'S STORY, by Kathryn Hulme. (Little, Brown and Company.)	1	13
""			
2	THIS HALLOWED GROUND, by Bruce Catton. (Doubleday and Company.)	2	6
""			
3	MEN TO MATCH MY MOUNTAINS, by Irving Stone. (Doubleday.)	3	10
""			
4	THE NEW WORLD, by Winston S. Churchill. (Dodd, Mead and Company.)	5	4
""			
5	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	4	49
""			
6	THE FBI STORY, by Don Whitehead. (Random House.)	11	2
""			
7	MUCH ADO ABOUT ME, by Fred Allen. (Little, Brown and Co.)	8	3
""			
""	THREE SAINTS AND A SINNER, by Louise Hall Tharp. (Little, Brown and		
8		6	9
""	Company.)		
""			
9	AUTUMN ACROSS AMERICA, by Edwin Way Teale. (Dodd, Mead and Co.)	7	7
""			
10	THE OUTSIDER, by Colin Wilson. (Houghton Mifflin Company.)	9	12
""			
11	ARTHRITIS AND COMMON SENSE, by Dale Alexander. (Witkower Press Inc.)	10	37
""			
12	THE LIFE OF THE PARTY, by Bennett Cerf. (Hanover House.)	14	3
""			
13	THE BIBLE AS HISTORY, by Werner Keller. (William Morrow and Company.)	13	3
""			
""	THE HEART HAS ITS REASONS, by Wallis Warfield Windsor, Duchess of		
14		--	9
""	Windsor. (David McKay Company.)		
""			
""	THE UNICORN AND OTHER POEMS, by Anne Morrow Lindbergh. (Pantheon		
15		12	12
""	Books.)		
""			
16	WATER, WATER EVERYWHERE, by Emily Kimbrough. (Harper and Brothers.)	15	2
