This	October 12, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	11
""			
2	THE CAINE MUTINY, by Herman Wouk.	2	78
""			
3	EAST OF EDEN, by John Steinbeck.	6	2
""			
4	THE OLD MAN AND THE SEA, by Ernest Hemingway.	3	5
""			
5	THE HOUSES IN BETWEEN, by Howard Spring.	4	22
""			
6	MATADOR, by Barnaby Conrad.	5	14
""			
7	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	8	28
""			
8	THE DISTANT SHORE, by Jan de Hartog.	9	5
""			
9	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	7	7
""			
10	THE FAR COUNTRY, by Nevil Shute.	10	3
""			
11	THE SINNER OF SAINT AMBROSE, by Robert Reynolds.	14	7
""			
12	GIANT, by Edna Ferber.	--	1
""			
13	HAPPY RETURN, by Angela Mackail Thirkell.	--	1
""			
14	THE CRUEL SEA, by Nicholas Monsarrat.	13	61
""			
15	MY COUSIN RACHEL, by Daphne du Maurier.	12	35
""			
16	CATHERINE CARTER, by Pamela Hansford Johnson.	11	10
This	October 12, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	A MAN CALLED PETER, by Catherine Marshall.	1	51
""			
2	THE SEA AROUND US, by Rachel Carson.	2	65
""			
3	WITNESS, by Whittaker Chambers.	3	20
""			
4	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	4	15
""			
5	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	12	2
""			
6	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	6	20
""			
7	POSTMARKED MOSCOW, by Lydia Kirk.	5	10
""			
8	THE MEMOIRS OF HERBERT HOOVER. Vol 3, by Herbert Hoover.	10	4
""			
9	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	8	9
""			
10	THE GREAT ENTERPRISE, by H.A. Overstreet.	9	7
""			
""	HOW TO SUCCEED IN BUISNESS WITHOUT REALLY TRYING, by Shepherd		
11	Mead.	13	5
""			
12	SUBMARINE, by Edward L. Beach.	7	13
""			
13	I GO POGO, by Walt Kelly.	14	4
""			
14	FROM UNDER MY HAT, by Hedda Hopper.	11	3
""			
15	MIDCENTURY JOURNEY, by William L. Shirer.	--	1
""			
16	ADLAI STEVENSON, by John Bartlow Martin.	--	1
