This	September 14, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	7
""			
2	THE CAINE MUTINY, by Herman Wouk.	2	74
""			
3	THE HOUSES IN BETWEEN, by Howard Spring.	3	18
""			
4	MATADOR, by Barnaby Conrad.	4	10
""			
5	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	5	24
""			
6	MY COUSIN RACHEL, by Daphne du Maurier.	6	31
""			
7	CATHERINE CARTER, by Pamela Hansford Johnson.	7	6
""			
8	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	9	3
""			
9	THE DISTANT SHORE, by Jan de Hartog.	--	1
""			
10	THE HIDDEN FLOWER, by Pearl S. Buck.	10	15
""			
11	THE CRUEL SEA, by Nicholas Monsarrat.	8	57
""			
12	SCALPEL, by Horace McCoy.	11	9
""			
13	THE OLD MAN AND THE SEA, by Ernest Hemingway.	--	1
""			
14	THE SINNER OF SAINT AMBROSE, by Robert Reynolds.	12	3
""			
15	THE STORIES OF FRANK O'CONNER, by Frank O'Conner.	13	2
""			
16	THE SARACEN BLADE, by Frank Yerby.	14	21
This	September 14, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	WITNESS, by Whittaker Chambers.	1	16
""			
2	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	3	11
""			
3	THE SEA AROUND US, by Rachel Carson.	2	61
""			
4	A MAN CALLED PETER, by Catherine Marshall.	4	47
""			
5	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	5	16
""			
6	POSTMARKED MOSCOW, by Lydia Kirk.	7	6
""			
7	THE THURBER ALBUM, by James Thurber.	9	13
""			
8	SUBMARINE, by Edward L. Beach.	8	9
""			
9	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	6	5
""			
10	JOURNEY TO THE FAR PACIFIC, by Thomas E. Dewey.	11	7
""			
11	THE GREAT ENTERPRISE, by H.A. Overstreet.	10	3
""			
12	U.S.A. CONFIDENTIAL, by Jack Lait and Lee Mortimer.	16	26
""			
13	IN ONE EAR, by Eric Severeid.	12	6
""			
""	HOW TO SUCCEED IN BUISNESS WITHOUT REALLY TRYING, by Shepherd		
14	Mead.	--	1
""			
15	THEODORA AND THE EMPEROR, by Harold Lamb.	14	4
""			
16	JUDGE MEDINA, by Hawthorne Daniel.	--	1
