This	March 25, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	3	3
""			
2	THE DISENCHANTED, by Budd Schulberg.	2	21
""			
3	JOY STREET, by Frances Parkinson Keyes.	1	16
""			
4	MORNING JOURNEY, by James Hilton.	5	3
""			
5	THE DISAPPEARANCE, by Philip Wylie.	6	10
""			
6	RIVER OF THE SUN, by James Ramsey Ullman.	4	10
""			
7	THE BALANCE WHEEL, by Taylor Caldwell.	7	10
""			
8	THE AGE OF LONGING, by Arthur Koestler.	8	2
""			
9	FOXFIRE, by Anya Seton.	10	10
""			
10	THE CARDINAL, by Henry Morton Robinson.	9	51
""			
11	ROUND THE BEND, by Nevil Shute.	--	1
""			
12	THE LEFT HAND OF GOD, by William E. Barrett.	13	6
""			
13	OLD HERBACEOUS, by Reginald Arkell.	11	3
""			
14	THE LOVED AND ENVIED, by Enid Bagnold.	12	9
""			
15	MOULIN ROUGE, by Pierre La Mure.	15	10
""			
16	FINISTERE, by Fritz Peters.	--	1
This		March 25, 1951	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	KON-TIKI, by Thor Heyerdahl.		1	28
""				
2	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.		8	2
""				
3	THE FAR SIDE OF PARADISE, by Arthur Mizener.		2	7
""				
4	ROMMEL, THE DESERT FOX, by Desmond Young.		4	8
""				
5	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.		3	50
""				
6	BOSWELL'S LONDON JOURNAL, by Frederick A. Pottle.		5	18
""				
7	OUT OF THIS WORLD, by Lowell Thomas Jr.		6	15
""				
8	MY SIX CONVICTS, by Donald Powell Wilson.		7	6
""				
9	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.		--	1
""				
10	THE RIDDLE OF MACARTHUR, by John Gunther.		9	5
""				
11	DECLINE AND FALL OF PRACTICALLY EVERYBODY, by Will Cuppy.		10	16
""				
12	UNPOPULAR ESSAYS, by Bertrand Russell.		16	3
""				
13	HENRY GROSS AND HIS DOWSING ROD, by Kenneth Lewis Roberts.		11	7
""				
14	FLORENCE NIGHTINGALE, by Cecil Woodham-Smith.		14	2
""				
15	THE VICIOUS CIRCLE, by Margaret Case Harriman.		--	1
""				
16	COURTROOM, by Quentin Reynolds.		13	41
