This	April 29, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LAST HURRAH, by Edwin O'Connor. (Little, Brown and Co.)	1	10
""			
2	TEN NORTH FREDERICK, by John O'Hara. (Random House.)	2	21
""			
3	ANDERSONVILLE, by MacKinlay Kantor. (Cleveland: World Publishing.)	3	26
""			
4	THE QUIET AMERICAN, by Graham Greene. (Viking Press.)	4	6
""			
5	IMPERIAL WOMAN, by Pearl S. Buck. (John Day Company.)	6	3
""			
6	LUCY CROWN, by Irwin Shaw. (Random House.)	7	4
""			
7	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	5	59
""			
8	ISLAND IN THE SUN, by Alec Waugh. (Farrar Straus and Giroux.)	9	15
""			
""	THE MAN IN THE GRAY FLANNEL SUIT, by Sloan Wilson. (Simon and		
9		12	40
""	Schuster.)		
""			
10	H.M.S. ULYSSES, by Alistair MacLean. (Collins Clear-Type Press.)	11	14
""			
11	MARJORIE MORNINGSTAR, by Herman Wouk. (Doubleday and Company, Inc.)	8	33
""			
12	CASH McCALL, by Cameron Hawley. (Houghton and Mifflin.)	10	23
""			
13	HARRY OF MONMOUTH, by A.M. Maughan. (William Sloane.)	13	3
""			
14	BELOVED, by Viña Delmar. (Harcourt, Brace and Company.)	15	2
""			
15	BOON ISLAND, by Kenneth Roberts. (Doubleday and Company.)	14	15
""			
16	TENDER VICTORY, by Taylor Caldwell. (McGraw-Hill.)	16	14
This	April 29, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
""	THE SEARCH FOR BRIDEY MURPHY, by Morey Bernstein. (Doubleday and		
1		1	15
""	Company.)		
""			
2	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	2	58
""			
3	A NIGHT TO REMEMBER, by Walter Lord. (Henry Holt and Company.)	3	21
""			
4	LOVE OR PERISH, by Smiley Blanton. (Simon and Schuster.)	6	11
""			
5	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	4	15
""			
""	THE SCROLLS FROM THE DEAD SEA, by Edmund Wilson. (Oxford University		
6		5	25
""	Press.)		
""			
7	ELOISE, by Kay Thompson and Hilary Knight. (Simon and Schuster.)	7	11
""			
8	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	8	58
""			
9	INSIDE AFRICA, by John Gunther. (Harper and Brothers.)	13	30
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
10		9	182
""	Inc.)		
""			
11	THE SECRET OF THE HITTITES, by C.W. Ceram. (Alfred A Knopf.)	10	14
""			
12	THE BIRTH OF BRITAIN, by Winston S. Churchill. (Dodd, Mead.)	--	1
""			
13	MEMOIRS, Vol. II, by Harry S. Truman. (Doubleday and Co.)	16	7
""			
14	DOCTOR KATE, by Adele Comandini. (Rinehart and Company.)	--	3
""			
15	ARTHRITIS AND COMMON SENSE, by Dale Alexander. (Witkower Press Inc.)	14	3
""			
16	AROUND THE WORLD CONFIDENTIAL, by Lee Mortimer. (G.P. Putnam's Sons.)	--	2
