This	January 4, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	2	23
""			
2	EAST OF EDEN, by John Steinbeck.	1	14
""			
3	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	4	6
""			
4	GIANT, by Edna Ferber.	3	13
""			
5	THE CAINE MUTINY, by Herman Wouk.	5	90
""			
6	THE WONDERFUL COUNTRY, by Tom Lea.	6	6
""			
7	THE OLD MAN AND THE SEA, by Ernest Hemingway.	7	17
""			
8	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	9	19
""			
9	SIRONIA, TEXAS, by Madison Cooper.	8	7
""			
10	QUEEN'S GIFT, by Inglis Clark Fletcher.	10	9
""			
11	EXECUTIVE SUITE, by Cameron Hawley.	--	1
""			
12	THE MAN ON A DONKEY, by H.F.M. Prescott.	14	9
""			
13	THE BOUNTY LANDS, by William Donohue Ellis.	13	2
""			
14	MEN AT ARMS, by Evelyn Waugh.	12	10
""			
15	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	--	36
""			
16	THE HOUSES IN BETWEEN, by Howard Spring.	11	34
This	January 4, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	12
""			
2	HOLY BIBLE: REVISED STANDARD VERSION.	2	12
""			
3	A MAN CALLED PETER, by Catherine Marshall.	3	63
""			
4	ABRAHAM LINCOLN, by Benjamin P. Thomas.	7	6
""			
5	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	5	9
""			
6	THE LAST RESORTS, by Cleveland Amory.	4	6
""			
7	THE BIG CHANGE, by Frederick Lewis Allen.	9	7
""			
8	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	6	14
""			
9	BEYOND THE HIMALAYAS, by William O. Douglas.	10	11
""			
10	THIS I BELIEVE, by Edward R. Murrow.	13	3
""			
11	THE SEA AROUND US, by Rachel Carson.	8	77
""			
12	THE HERBLOCK BOOK, by Herbert Block.	12	10
""			
13	MY ISLAND HOME, by James Norman Hall.	--	1
""			
14	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	--	27
""			
15	HUNTER, by John A. Hunter.	--	2
""			
16	A MANY-SPLENDORED THING, by Han Suyin.	--	2
