This	June 14, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	20
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	46
""			
3	BATTLE CRY, by Leon Uris.	4	5
""			
4	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	3	15
""			
5	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	7	6
""			
6	THE ECHOING GROVE, by Rosamond Lehmann.	6	3
""			
7	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	5	12
""			
8	ZORBA THE GREEK, by Nikos Kazantzakis.	13	5
""			
9	HOTEL TALLYRAND, by Paul Hyde Bonner.	8	8
""			
10	KINGFISHERS CATCH FIRE, by Rumer Godden.	--	1
""			
11	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	10	29
""			
12	THE CAINE MUTINY, by Herman Wouk.	12	113
""			
13	NINE STORIES, by J.D. Salinger.	14	8
""			
14	CORPUS OF JOE BAILEY, by Oakley Hall.	--	6
""			
15	EAST OF EDEN, by John Steinbeck.	11	37
""			
16	PRINCE BART, by Jay Richard Kennedy.	9	12
This	June 14, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	32
""			
2	ANNAPURNA, by Maurice Herzog.	2	21
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	17
""			
4	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	4	8
""			
5	HOLY BIBLE: REVISED STANDARD VERSION.	5	35
""			
6	THIS I BELIEVE, by Edward R. Murrow.	6	26
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	86
""			
8	THE WORLD AND THE WEST, by Arnold Toynbee.	9	10
""			
9	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	8	7
""			
10	THE ROMMEL PAPERS, by B.H. Liddell Hart.	11	2
""			
11	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	12	5
""			
12	ANGEL UNAWARE, by Dale Evans Rogers.	10	7
""			
13	PEOPLE, PLACES, AND BOOKS, by Gilbert Highet.	--	2
""			
14	ELIZABETH AND PHILIP, by Geoffrey Bocca.	--	2
""			
15	UNCLE POGO SO-SO STORIES, by Walt Kelly.	15	2
""			
16	POSTCARDS FROM DELAPLANE, by Stanton Delaplane.	--	8
