This	October 31, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LOVE IS ETERNAL, by Irving Stone.	1	9
""			
2	MARY ANNE, by Daphne du Maurier.	2	20
""			
3	NOT AS A STRANGER, by Morton Thompson.	3	41
""			
4	KATHERINE, by Anya Seton.	6	3
""			
5	SOLDIER OF FORTUNE, by Ernest Kellogg Gann.	10	2
""			
6	NO TIME FOR SERGEANTS, by Mac Hyman.	12	2
""			
7	THE ROYAL BOX, by Frances Parkinson Keyes.	5	19
""			
8	SWEET THURSDAY, by John Steinbeck.	4	19
""			
9	THE FALL OF A TITAN, by Igor Gouzenko.	8	13
""			
10	A FABLE, by William Faulkner.	7	11
""			
11	THE LONG SHIPS, by Frans G. Bengtsson.	--	4
""			
12	THE DOLLMAKER, by Harriette Arnow.	9	25
""			
13	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	11	25
""			
14	THE EGYPTIAN, by Mika Waltari.	--	59
""			
15	THE HEALING OATH, by Andre Soubiran.	--	10
""			
16	AWAY ALL BOATS, by Kenneth Dodson.	14	30
This	October 31, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	104
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	21
""			
3	CALL TO GREATNESS, by Adlai E. Stevenson.	3	8
""			
4	ABRAHAM LINCOLN, by Carl Sandburg.	4	3
""			
5	A CHILD OF THE CENTURY, by Ben Hecht.	5	18
""			
6	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	7	33
""			
7	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	6	16
""			
8	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	9	9
""			
""	MACARTHUR -- 1941-1951, by Major General Charles A. Willoughby and John		
9	Chamberlain.	11	2
""			
10	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	10	35
""			
11	MELBOURNE, by David Cecil.	13	4
""			
12	McCARTHY AND THE COMMUNISTS, by James Rorty and Moshe Decter.	8	6
""			
13	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	12	32
""			
14	THE REMARKABLE MR. JEROME, by Anita Leslie.	14	3
""			
15	THE HYDROGEN BOMB, by James R. Shepley and Clay Blair.	--	1
""			
16	THE LOVE LETTERS OF PHYLLIS McGINLEY, by Phyllis McGinley.	--	1
