This	April 1, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	1	4
""			
2	JOY STREET, by Frances Parkinson Keyes.	3	17
""			
3	THE DISENCHANTED, by Budd Schulberg.	2	22
""			
4	MORNING JOURNEY, by James Hilton.	4	4
""			
5	THE AGE OF LONGING, by Arthur Koestler.	8	3
""			
6	THE BALANCE WHEEL, by Taylor Caldwell.	7	11
""			
7	RIVER OF THE SUN, by James Ramsey Ullman.	6	11
""			
8	THE DISAPPEARANCE, by Philip Wylie.	5	11
""			
9	ROUND THE BEND, by Nevil Shute.	11	2
""			
10	FOXFIRE, by Anya Seton.	9	11
""			
11	THE CARDINAL, by Henry Morton Robinson.	10	52
""			
12	NEW YORK 22, by Ilka Chase.	--	1
""			
13	THE LEFT HAND OF GOD, by William E. Barrett.	12	7
""			
14	OLD HERBACEOUS, by Reginald Arkell.	13	4
""			
15	FINISTERE, by Fritz Peters.	16	2
""			
16	NEITHER FIVE NOR THREE, by Helen MacInnes.	--	1
This	April 1, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	2	3
""			
2	KON-TIKI, by Thor Heyerdahl.	1	29
""			
3	THE FAR SIDE OF PARADISE, by Arthur Mizener.	3	8
""			
4	ROMMEL, THE DESERT FOX, by Desmond Young.	4	9
""			
5	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	5	51
""			
6	OUT OF THIS WORLD, by Lowell Thomas Jr.	7	16
""			
7	BOSWELL'S LONDON JOURNAL, by Frederick A. Pottle.	6	19
""			
8	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.	9	2
""			
9	MY SIX CONVICTS, by Donald Powell Wilson.	8	7
""			
10	FLORENCE NIGHTINGALE, by Cecil Woodham-Smith.	14	3
""			
11	UNPOPULAR ESSAYS, by Bertrand Russell.	12	4
""			
12	THE VICIOUS CIRCLE, by Margaret Case Harriman.	15	2
""			
13	HENRY GROSS AND HIS DOWSING ROD, by Kenneth Lewis Roberts.	13	8
""			
14	DECLINE AND FALL OF PRACTICALLY EVERYBODY, by Will Cuppy.	11	17
""			
15	THE RIDDLE OF MACARTHUR, by John Gunther.	10	6
""			
16	HERE I STAND, by Roland H. Bainton.	--	1
