This	May 30, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	19
""			
2	BLESS THIS HOUSE, by Norah Lofts.	2	8
""			
3	AWAY ALL BOATS, by Kenneth Dodson.	4	11
""			
4	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	6	3
""			
5	SAYONARA, by James A. Michener.	3	16
""			
6	BHOWANI JUNCTION, by John Masters.	7	7
""			
7	THE SONG OF RUTH, by Frank G. Slaughter.	10	4
""			
8	THE NIGHT OF THE HUNTER, by Davis Grubb.	5	12
""			
9	THE SPIDER KING, by Lawrence Schoonover.	8	7
""			
10	THE DOLLMAKER, by Harriette Arnow.	12	3
""			
11	THE GIPSY IN THE PARLOUR, by Margery Sharp.	9	4
""			
12	THE DESPERATE HOURS, by Joseph Hayes.	15	9
""			
13	PICTURES FROM AN INSTITUTION, by Randall Jarrell.	--	1
""			
14	LORD VANITY, by Samuel Shellabarger.	13	30
""			
15	THE BAD SEED, by William March.	--	1
""			
16	TOMORROW!, by Philip Wylie.	14	17
This	May 30, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	82
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	13
""			
3	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	3	11
""			
4	MINUTES OF THE LAST MEETING, by Gene Fowler.	5	6
""			
5	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	6	10
""			
6	SECOND TREE FROM THE CORNER, by E.B. White.	4	17
""			
7	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	7	7
""			
8	THE REASON WHY, by Cecil Woodham-Smith.	14	2
""			
9	LIFE IS WORTH LIVING, by Fulton J. Sheen.	8	30
""			
10	SEVEN YEARS IN TIBET, by Heinrich Harrer.	9	11
""			
11	FINAL SECRET OF PEARL HARBOR, by Rear Admiral Robert A. Theobald.	10	3
""			
12	CELL 2455 DEATH ROW, by Caryl Chessman.	--	1
""			
13	THE TAFT STORY, by William S. White.	11	5
""			
14	THE MAN WHO NEVER WAS, by Ewen Montagu.	12	15
""			
15	THE JOURNEY, by Lillian Smith.	15	3
""			
16	SECRET DIARY OF HAROLD L. ICKES, Vol. II, by Harold L. Ickes.	--	1
