This	August 23, 1959	Last	Weeks
Week	Fiction	Week	On List
""			
1	EXODUS, by Leon Uris. (Doubleday.)	1	46
""			
2	LADY CHATTERLY'S LOVER, by D.H. Lawrence. (Random House.)	2	15
""			
""	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick. (W.W. Norton		
3		3	44
""	and Company.)		
""			
""	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell. (Doubleday and		
4		5	21
""	Company.)		
""			
5	DOCTOR ZHIVAGO, by Boris Pasternak. (Random House Inc.)	4	48
""			
6	CELIA GARTH, by Gwen Bristow. (Thomas Crowell Co.)	6	14
""			
7	THE TENTS OF WICKEDNESS, by Peter De Vries. (Little, Brown and Company.)	7	3
""			
8	CALIFORNIA STREET, by Niven Busch. (Simon and Schuster.)	8	9
""			
9	ADVISE AND CONSENT, by Allen Drury. (Doubleday and Company.)	12	2
""			
10	MRS. ARRIS GOES TO PARIS, by Paul Gallico. (Doubleday and Company, Inc.)	16	35
""			
11	THE LIGHT INFANTRY BALL, by Hamilton Basso. (Doubleday.)	9	10
""			
12	LOLITA, by Vladimir Nabokov. (G.P. Putnam's Sons.)	10	52
""			
13	THE YOUNG TITAN, by F. Van Wyck Mason. (Doubleday.)	11	7
""			
14	THE CHINESE BOX, by Katherine Wigmore Eyre. (Appleton-Century-crofts, Inc.)	--	14
""			
15	THE ART OF LLEWELLYN JONES, by Paul Hyde Bonner. (Scribner.)	13	4
""			
16	NINE COACHES WAITING, by Mary Stewart. (M.S. Mill/William Morrow.)	15	26
This	August 23, 1959	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE STATUS SEEKERS, by Vance Packard. (David McKay.)	1	15
""			
2	FOR 2C PLAIN, by Harry Golden. (World Publishing.)	3	6
""			
3	THE YEARS WITH ROSS, by James Thurber. ( Little, Brown and Company.)	2	11
""			
4	MINE ENEMY GROWS OLDER, by Alexander King. (Simon and Schuster.)	5	28
""			
""	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE		
5		4	19
""	TIME, by William Nickerson. (Simon and Schuster.)		
""			
6	RICHARD NIXON, by Earl Mazo. (Harper and Brothers.)	6	6
""			
""	SENATOR JOE McCARTHY, by Richard H. Rovere. (Harcourt, Brace and		
""	Company.)		
""			
8	ONLY IN AMERICA, by Harry Lewis Golden. (World Publishing Co.)	8	56
""			
""	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White. (Macmillan		
9		10	4
""	Company.)		
""			
10	FOLK MEDICINE, by Deforest Clinton Jarvis. (Henry Holt and Company, Inc.)	9	19
""			
11	THE HOUSE OF INTELLECT, by Jacques Barzun. (Harper and Brothers.)	13	12
""			
12	MY BROTHER WAS AN ONLY CHILD, by Jack Douglas. (E.P. Dutton and Co.)	11	18
""			
13	IMAGE OF AMERICA, by Richard Bruckberger. (Viking.)	15	4
""			
""	CHARLEY WEAVER'S LETTERS FROM MAMMA, by Cliff Arquette. (John C.		
14		16	12
""	Winston Company.)		
""			
15	TWIXT TWELVE AND TWENTY, by Pat Boone. (Prentice-Hall, Inc.)	14	34
""			
16	THE GREAT IMPOSTER, by Robert Crichton. (Random House.)	12	3
