This	December 6, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	LORD VANITY, by Samuel Shellabarger.	1	5
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	2	19
""			
3	TIME AND TIME AGAIN, by James Hilton.	3	14
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	31
""			
5	DESIREE, by Annemarie Selinko.	5	45
""			
6	TOO LATE THE PHALAROPE, by Alan Paton.	6	14
""			
7	THE UNCONQUERED, by Ben Ames Williams.	7	13
""			
8	THE LADY OF ARLINGTON, by Harnett T. Kane.	11	8
""			
9	THE FEMALE, by Paul Wellman.	8	8
""			
10	BATTLE CRY, by Leon Uris.	10	30
""			
11	THE ROBE, by Lloyd C. Douglas.	13	166
""			
12	THE DEVIL'S LAUGHTER, by Frank Yerby.	9	8
""			
13	THE DOCTORS, by Andre Soubiran.	--	1
""			
14	THE SHADOWS OF THE IMAGES, by William E. Barrett.	14	3
""			
15	THE HEART OF THE FAMILY, by Elizabeth Goudge.	12	9
""			
16	THE ADVENTURES OF AUGIE MARCH, by Saul Bellow.	15	10
This	December 6, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	57
""			
2	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	2	10
""			
3	LELIA, by Andre Maurois.	5	11
""			
4	GONE WITH THE WINDSORS, by Iles Brody.	4	10
""			
5	LIFE IS WORTH LIVING, by Fulton J. Sheen.	3	5
""			
6	A HOUSE IS NOT A HOME, by Polly Adler.	6	25
""			
7	A MAN CALLED PETER, by Catherine Marshall.	10	111
""			
8	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	9	6
""			
9	FIRE IN THE ASHES, by Theodore Harold White.	--	1
""			
10	PERIOD PIECE, by Gwen Raverat.	7	14
""			
11	FABULOUS CHICAGO, by Emmett Dedmon.	11	3
""			
12	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	14	11
""			
13	MAN, TIME AND FOSSILS, by Ruth E. Moore.	16	2
""			
14	THE GREATEST FAITH EVER KNOWN, by Fulton Oursler.	--	2
""			
15	DON'T CALL IT FRISCO, by Herb Caen.	--	2
""			
16	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	8	6
