This	November 28, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LOVE IS ETERNAL, by Irving Stone.	1	13
""			
2	KATHERINE, by Anya Seton.	2	7
""			
3	THE VIEW FROM POMPEY'S HEAD, by Hamilton Basso.	3	4
""			
4	MARY ANNE, by Daphne du Maurier.	4	24
""			
5	SOLDIER OF FORTUNE, by Ernest Kellogg Gann.	6	6
""			
6	NOT AS A STRANGER, by Morton Thompson.	5	45
""			
7	NO TIME FOR SERGEANTS, by Mac Hyman.	7	6
""			
8	MY BROTHER'S KEEPER, by Marcia Davenport.	8	3
""			
9	THE ROYAL BOX, by Frances Parkinson Keyes.	9	23
""			
10	SWEET THURSDAY, by John Steinbeck.	10	23
""			
11	BLUE HURRICANE, by F. Van Wyck Mason.	12	2
""			
12	THE FALL OF A TITAN, by Igor Gouzenko.	14	17
""			
13	GOOD MORNING, MISS DOVE, by Frances Gray Patton.	--	1
""			
14	A FABLE, by William Faulkner.	13	15
""			
15	REUNION, by Merle Miller.	11	3
""			
16	LORD GRIZZLY, by Frederick Manfred.	--	1
This	November 28, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	108
""			
2	ABRAHAM LINCOLN, by Carl Sandburg.	2	7
""			
3	I'LL CRY TOMORROW, by Lillian Roth.	3	25
""			
4	THE TUMULT AND THE SHOUTING, by Grantland Rice.	5	2
""			
5	CALL TO GREATNESS, by Adlai E. Stevenson.	4	12
""			
6	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	6	20
""			
7	R.S.V.P. ELSA MAXWELL'S OWN STORY, by Elsa Maxwell.	7	3
""			
""	MACARTHUR -- 1941-1951, by Major General Charles A. Willoughby and John		
8	Chamberlain.	11	6
""			
9	MELBOURNE, by David Cecil.	9	8
""			
10	THE SATURDAY EVENING POST TREASURY, by Roger Butterfield.	10	2
""			
11	A CHILD OF THE CENTURY, by Ben Hecht.	8	22
""			
12	MY SEVERAL WORLDS, by Pearl S. Buck.	--	1
""			
13	THE PRAYERS OF PETER MARSHALL, by Catherine Marshall.	--	1
""			
14	THE WHITE AND THE GOLD, by Thomas B. Costain.	--	3
""			
15	THIS IS BELIEVE: 2, by Raymond Swing.	--	2
""			
16	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	13	13
