This	September 30, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	24
""			
2	THE CRUEL SEA, by Nicholas Monsarrat.	3	7
""			
3	FROM HERE TO ETERNITY, by James Jones.	2	30
""			
4	THE CATCHER IN THE RYE, by J.D. Salinger.	4	10
""			
5	THE IRON MISTRESS, by Paul I. Wellman.	6	8
""			
6	RETURN TO PARADISE, by James A. Michener.	5	22
""			
7	THE HOLY SINNER, by Thomas Mann.	--	1
""			
8	MR.SMITH, by Louis Bromfield.	7	4
""			
9	LIE DOWN IN DARKNESS, by William Styron.	--	1
""			
10	A WOMAN CALLED FANCY, by Frank Yerby.	8	19
""			
11	THE ROAD TO BITHYNIA, by Frank G. Slaughter.	13	3
""			
12	THE HIGH CALLING, by James Street.	9	14
""			
13	THE TROUBLED AIR, by Irwin Shaw.	11	15
""			
14	LUCY CARMICHAEL, by Margaret Kennedy.	10	6
""			
15	APRIL SNOW, by Lillian Budd.	16	15
""			
16	ELIZABETH THE WOMAN, by Amanda Mae Ellis.	--	1
This	September 30, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE SEA AROUND US, by Rachel Carson.	1	11
""			
2	KON-TIKI, by Thor Heyerdahl.	2	55
""			
3	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	3	29
""			
4	WHITE MAN RETURNS, by Agnes Newton Keith.	4	6
""			
5	A SOLDIER'S STORY, by Omar Nelson Bradley.	5	14
""			
6	DIZZY, by Hesketh Pearson.	10	4
""			
7	CRIME IN AMERICA, by Estes Kefauver.	6	10
""			
8	A KING'S STORY, by Edward Windsor, Duke of Windsor.	7	23
""			
9	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.	9	28
""			
10	FIGHT AGAINST FEARS, by Lucy Freeman.	8	10
""			
11	THE NEW JOY OF COOKING, by Irma S. Rombauer and Marion Rombauer	12	9
""	Becker.		
""			
12	MY MISSION IN ISRAEL, by James G. McDonald.	11	2
""			
13	THE ANTOINETTE POPE SCHOOL COOK BOOK, by Antoinette and Francois	--	1
""	Pope.		
""			
14	COMMUNISM, DEMOCRACY, AND CATHOLIC POWER, by Paul Blanshard.	15	17
""			
15	BETTER HOMES AND GARDENS GARDEN BOOK, by Fleeta Brownell	14	24
""	Woodroffe.		
""			
16	CRACKS IN THE KREMLIN WALL, by Edward Crankshaw.	--	2
