This	May 24, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	17
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	43
""			
3	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	3	12
""			
4	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	4	9
""			
5	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	8	26
""			
6	BATTLE CRY, by Leon Uris.	13	2
""			
7	HOTEL TALLYRAND, by Paul Hyde Bonner.	6	5
""			
8	EAST OF EDEN, by John Steinbeck.	7	34
""			
9	PRINCE BART, by Jay Richard Kennedy.	5	9
""			
10	THE CAINE MUTINY, by Herman Wouk.	9	110
""			
11	NINE STORIES, by J.D. Salinger.	12	5
""			
12	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	14	3
""			
13	IN THE WET, by Nevil Shute.	--	1
""			
14	CORPUS OF JOE BAILEY, by Oakley Hall.	11	4
""			
15	THE GREEN MAN, by Storm Jameson.	15	8
""			
16	STEPHANIA, by Ilona Karmel.	--	3
This	May 24, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	29
""			
2	ANNAPURNA, by Maurice Herzog.	2	18
""			
3	HOLY BIBLE: REVISED STANDARD VERSION.	5	32
""			
4	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	4	5
""			
5	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	14
""			
6	THIS I BELIEVE, by Edward R. Murrow.	8	23
""			
7	THE WORLD AND THE WEST, by Arnold Toynbee.	6	7
""			
8	A MAN CALLED PETER, by Catherine Marshall.	7	83
""			
9	ANGEL UNAWARE, by Dale Evans Rogers.	9	4
""			
10	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	10	4
""			
11	POSTCARDS FROM DELAPLANE, by Stanton Delaplane.	11	6
""			
12	THE LEGENDARY MIZNERS, by Alva Johnston.	13	4
""			
13	THE AMAZING MR. DOOLITTLE, by Quentin Reynolds.	--	1
""			
14	THE SIGN OF JONAS, by Thomas Merton.	--	12
""			
15	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	16	2
""			
16	THE PRIVATE DINING ROOM, by Ogden Nash.	--	1
