This	March 2, 1952	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	46
""			
2	MY COUSIN RACHEL, by Daphne du Maurier.	8	3
""			
3	THE CRUEL SEA, by Nicholas Monsarrat.	2	29
""			
4	SPARK OF LIFE, by Erich Maria Remarque.	5	3
""			
5	THE PRESIDENT'S LADY, by Irving Stone.	3	21
""			
6	MELVILLE GOODWIN, USA, by John Marquand.	6	20
""			
7	THE END OF THE AFFAIR, by Graham Greene.	4	17
""			
8	FROM HERE TO ETERNITY, by James Jones.	9	52
""			
9	JEFFERSON SELLECK, by Carl Jonas.	11	4
""			
10	THE SWIMMING POOL, by Mary Roberts Rinehart.	10	4
""			
11	MOSES, by Sholem Asch.	7	21
""			
12	THE CATCHER IN THE RYE, by J.D. Salinger.	--	29
""			
13	HIMALAYAN ASSIGNMENT, by Francis Van Wyck Mason.	12	2
""			
14	MITTEE, by Daphne Rooke.	14	2
""			
15	BARABBAS, by Par Lagerkvist.	--	6
""			
16	WINDS OF MORNING, by Harold Lenoir Davis.	16	6
This	March 2, 1952	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE SEA AROUND US, by Rachel Carson.	1	33
""			
2	A MAN CALLED PETER, by Catherine Marshall.	2	19
""			
3	DANCE TO THE PIPER, by Agnes de Mille.	6	5
""			
4	THE NEW YORKER 25th ANNIVERSARY ALBUM, by New Yorker Magazine.	3	18
""			
5	SHOW BIZ, by Abel Green and Joe Laurie Jr.	5	14
""			
6	THE GREATEST BOOK EVER WRITTEN, by Fulton Oursler.	4	12
""			
7	I LED 3 LIVES, by Herbert A. Philbrick.	--	1
""			
8	EISENHOWER, by John Gunther.	8	3
""			
9	STRANGE LANDS AND FRIENDLY PEOPLES, by William O. Douglas.	9	15
""			
10	GODS, GRAVES AND SCHOLARS, by C.W. Ceram.	11	14
""			
11	CLOSING THE RING, by Winston S. Churchill.	7	13
""			
12	A FOREIGN POLICY FOR AMERICANS, by Robert A. Taft.	14	13
""			
13	KON-TIKI, by Thor Heyerdahl.	13	77
""			
14	THE FORRESTAL DIARIES, by Walter Millis and E.S. Duffield.	10	19
""			
15	WHILE YOU SLEPT, by John T. Flynn.	16	3
""			
16	THE SCALPEL OF SCOTLAND YARDS, by Douglas G. Browne and E.V.	--	1
""	Tullett.		
