This	August 17, 1958	Last	Weeks
Week	Fiction	Week	On List
""			
1	ANATOMY OF A MURDER, by Robert Traver. (St. Martin's.)	1	30
""			
2	THE ENEMY CAMP, by Jerome Weidman. (Random House.)	2	7
""			
3	THE KING MUST DIE, by Mary Renault. (Pantheon.)	5	4
""			
4	ICE PALACE, by Edna Ferber. (Doubleday.)	3	21
""			
5	THE TIME OF THE DRAGONS, by Alice Ekert-Rotholz. (Viking.)	7	6
""			
6	THE WINTHROP WOMAN, by Anya Seton. (Houghton Mifflin Company.)	4	24
""			
7	THE IMAGE MAKERS, by Bernard Dryer. (Harper and Brothers.)	6	7
""			
8	STRANGERS WHEN WE MEET, by Evan Hunter. (Constable and Company Ltd.)	8	9
""			
9	SEIDMAN AND SON, by Elick Moll. (G. P. Putnam's Sons.)	10	10
""			
10	THE NORTHERN LIGHT, by A.J. Cronin. (Little, Brown and Company.)	9	10
""			
11	A SUMMER PLACE, by Sloan Wilson. (Simon and Schuster, Inc.)	13	17
""			
12	THE TRAVELS OF JAIMIE McPHEETERS, by Robert Lewis Taylor. (Doubleday.)	12	17
""			
13	THE DUD AVOCADO, by Elaine Dundy. (E. P. Dutton.)	--	1
""			
14	THE GREENGAGE SUMMER, by Rumer Godden. (Viking.)	11	19
""			
15	RALLY ROUND THE FLAG BOYS!, by Max Schulman. (Doubleday.)	14	51
""			
16	THE PORTUGUESE ESCAPE, by Ann Bridge. (Macmillan.)	16	2
This	August 17, 1958	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	INSIDE RUSSIA TODAY, by John Gunther. (Harper and Brothers.)	1	17
""			
2	MASTERS OF DECEIT, by J. Edgar Hoover. (Henry Holt and Co.)	2	21
""			
""	THE AFFLUENT SOCIETY, by John Kenneth Galbraith. (Houghton Mifflin		
3		4	9
""	Company.)		
""			
4	PLEASE DON'T EAT THE DAISIES, by Jean Kerr. (Doubleday.)	3	36
""			
5	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	6	39
""			
6	DEAR ABBY, by Abigail Van Buren. (Prentice-Hall, Inc.)	5	14
""			
7	ONLY IN AMERICA, by Harry Lewis Golden. (World Publishing Co.)	7	3
""			
8	ALL ABOUT MEN, by Joseph H. Peck. (Elliot Right Way Books.)	11	7
""			
9	THE ORDEAL OF WOODROW WILSON, by Herbert Hoover. (McGraw-Hill.)	9	14
""			
10	"BAA BAA BLACK SHEEP, by Gregory ""Pappy"" Boyington. (Wilson Press.)"	--	1
""			
11	THE DEATH OF MANOLETE, by Barnaby Conrad. (Houghton Mifflin Company.)	10	2
""			
12	THE CATTLEMEN, by Mari Sandoz. (Hastings House.)	13	8
""			
""	MISTER MUSIC MAKER, LAWRENCE WELK, by Mary Lewis Coakley.		
13		8	7
""	(Doubleday.)		
""			
14	A NEW ENGLAND GIRLHOOD, by Nancy Hale. (Little, Brown and Company.)	--	5
""			
""	"""WHERE DID YOU GO?"" ""OUT"" ""WHAT DID YOU DO?"" ""NOTHING."", by Robert"		
15		16	53
""	Paul Smith. (W.W. Norton and Company.)		
""			
""	COMMON STOCKS AND UNCOMMON PROFITS, by Philip A. Fisher. (Harper		
16		--	1
""	and Brothers.)		
