This	October 11, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	BEYOND THIS PLACE, by A.J. Cronin.	2	11
""			
2	DESIREE, by Annemarie Selinko.	1	37
""			
3	TOO LATE THE PHALAROPE, by Alan Paton.	5	6
""			
4	TIME AND TIME AGAIN, by James Hilton.	4	6
""			
5	BATTLE CRY, by Leon Uris.	3	22
""			
6	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	6	23
""			
7	THE UNCONQUERED, by Ben Ames Williams.	7	5
""			
8	THE ADVENTURES OF AUGIE MARCH, by Saul Bellow.	11	2
""			
9	COME, MY BELOVED, by Pearl S. Buck.	8	7
""			
10	THE DARK ANGEL, by Mika Waltari.	9	17
""			
11	THE BRIDGES AT TOKO-RI, by James A. Michener.	10	11
""			
12	THE STORY OF ESTHER COSTELLO, by Nicholas Monsarrat.	--	1
""			
13	HORNBLOWER AND THE ATROPOS, by C.S. Forester.	16	2
""			
14	THE DEEP SIX, by Martin Dibner.	--	5
""			
15	THE SILVER CHALICE, by Thomas B. Costain.	--	62
""			
16	THE HEART OF THE FAMILY, by Elizabeth Goudge.	--	1
This	October 11, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	49
""			
2	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	3	3
""			
3	A HOUSE IS NOT A HOME, by Polly Adler.	2	17
""			
4	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	7	2
""			
5	A MAN CALLED PETER, by Catherine Marshall.	4	103
""			
6	LELIA, by Andre Maurois.	5	3
""			
7	PERIOD PIECE, by Gwen Raverat.	10	6
""			
8	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	6	22
""			
9	GONE WITH THE WINDSORS, by Iles Brody.	16	2
""			
10	HOLY BIBLE: REVISED STANDARD VERSION.	12	52
""			
11	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	8	34
""			
12	FATHER, DEAR FATHER, by Ludwig Bemelmans.	9	5
""			
13	CALL ME LUCKY, by Bing Crosby.	13	13
""			
14	ANNAPURNA, by Maurice Herzog.	11	38
""			
15	INDIA AND THE AWAKENING EAST, by Eleanor Roosevelt.	14	9
""			
16	ANGEL UNAWARE, by Dale Evans Rogers.	--	21
