This	January 8, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE EGYPTIAN, by Mika Waltari.	1	18
""			
2	MARY, by Sholem Asch.	2	12
""			
3	A RAGE TO LIVE, by John O'Hara.	3	19
""			
4	THE WAY WEST, by A.B. Guthrie Jr.	4	11
""			
5	ONE ON THE HOUSE, by Mary Lasswell.	5	5
""			
6	THE WOMAN OF ROME, by Alberto Moravia.	6	7
""			
7	THE BIG FISHERMAN, by Lloyd C. Douglas.	7	58
""			
8	LET LOVE COME LAST, by Taylor Caldwell.	8	21
""			
9	THE MAN WITH THE GOLDEN ARM, by Nelson Algren.	9	15
""			
10	THE MUDLARK, by Theodore Bonnet.	10	19
""			
11	LOVING, by Henry Green.	11	10
""			
12	CRY, THE BELOVED COUNTRY, by Alan Paton.	14	25
""			
13	THE DREAM MERCHANTS, by Harold Robbins.	13	9
""			
14	FATHER OF THE BRIDE, by Edward Streeter.	--	1
""			
15	PRINCE OF EGYPT, by Dorothy Clarke Wilson.	12	3
""			
16	THE SHELTERING SKY, by Paul Bowles.	15	2
This	January 8, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WHITE COLLAR ZOO, by Clare Barnes.	1	25
""			
2	THIS I REMEMBER, by Eleanor Roosevelt.	2	7
""			
3	HOME SWEET ZOO, by Clare Barnes.	4	4
""			
4	THE MATURE MIND, by Harry Allen Overstreet.	3	20
""			
5	THE AUTOBIOGRAPHY OF WILL ROGERS, by Donald Day.	5	11
""			
6	PEACE OF SOUL, by Fulton J. Sheen.	7	38
""			
7	THE WATERS OF SILOE, by Thomas Merton.	6	15
""			
8	A GUIDE TO CONFIDENT LIVING, by Norman Vincent Peale.	8	66
""			
9	THE SEVEN STOREY MOUNTAIN, by Thomas Merton.	10	57
""			
10	MODERN ARMS AND FREE MEN, by Vannevar Bush.	9	5
""			
11	THE GREATEST STORY EVER TOLD, by Fulton Oursler.	11	35
""			
12	AMERICAN FREEDOM AND CATHOLIC POWER, by Paul Blanshard.	16	23
""			
13	THE FRENCHMAN, by Philippe Halsman.	14	6
""			
14	BAGHDAD-BY-THE-BAY, by Herb Caen.	13	10
""			
15	MR. JONES, MEET THE MASTER, by Peter Marshall.	--	1
""			
16	THE ASPIRIN AGE, 1919-1941, by Isabel Leighton.	12	17
